X1,X2,X3,X4,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.85,11.15,16.15,13.925,1439.38,19.78,20.62,0.24409262759924788,0.43081761006289343,0.30000000000000154
9.85,11.15,16.15,14.0,1449.94,19.49,20.52,0.4936200378071865,0.33962264150943344,0.1571428571428565
9.85,11.15,16.15,14.075,1447.46,19.9,20.5,0.435018903591685,0.4685534591194964,0.1285714285714285
9.85,11.15,16.15,14.15,1449.31,19.85,20.45,0.4787334593572784,0.45283018867924574,0.05714285714285598
9.925,10.85,15.85,13.85,1457.01,19.12,20.62,0.660680529300569,0.2232704402515726,0.30000000000000154
9.925,10.85,15.85,13.925,1429.47,19.73,20.86,0.009924385633272055,0.41509433962264164,0.6428571428571425
9.925,10.85,15.85,14.0,1453.32,19.97,20.89,0.5734877126654069,0.4905660377358487,0.685714285714287
9.925,10.85,15.85,14.075,1430.5,19.67,20.88,0.03426275992438676,0.39622641509434015,0.6714285714285705
9.925,10.85,15.85,14.15,1457.95,18.88,20.79,0.6828922495274133,0.14779874213836444,0.542857142857142
9.925,10.85,15.924999999999999,13.85,1456.98,19.02,20.59,0.6599716446124788,0.19182389937106903,0.257142857142857
9.925,10.85,15.924999999999999,13.925,1456.22,18.93,20.79,0.6420132325141804,0.16352201257861623,0.542857142857142
9.925,10.85,15.924999999999999,14.0,1432.92,19.51,20.83,0.09144612476370803,0.34591194968553507,0.599999999999998
9.925,10.85,15.924999999999999,14.075,1432.92,19.28,20.84,0.09144612476370803,0.2735849056603777,0.6142857142857145
9.925,10.85,15.924999999999999,14.15,1456.18,18.84,20.63,0.6410680529300603,0.13522012578616344,0.314285714285713
9.925,10.85,16.0,13.85,1452.36,19.63,20.63,0.5508034026465024,0.38364779874213806,0.314285714285713
9.925,10.85,16.0,13.925,1455.89,18.89,20.72,0.634215500945184,0.15094339622641526,0.4428571428571415
9.925,10.85,16.0,14.0,1458.51,18.86,20.62,0.6961247637051059,0.14150943396226395,0.30000000000000154
9.925,10.85,16.0,14.075,1456.14,18.83,20.68,0.6401228733459401,0.13207547169811265,0.3857142857142855
9.925,10.85,16.0,14.15,1438.42,19.36,20.66,0.22140831758034338,0.2987421383647797,0.3571428571428575
9.925,10.85,16.075,13.85,1456.88,18.82,20.53,0.6576086956521786,0.12893081761006295,0.171428571428573
9.925,10.85,16.075,13.925,1444.72,18.93,20.66,0.37027410207939737,0.16352201257861623,0.3571428571428575
9.925,10.85,16.075,14.0,1456.54,18.8,20.65,0.6495746691871468,0.12264150943396246,0.342857142857141
