X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
24.27,133.2,2.64,0.23,0.81,2.28,1.66,11.04,-44.0,-1752.1,83.08
24.5,104.5,3.13,0.64,0.52,2.72,1.8,14.09,-42.0,-1498.3,72.47
21.69,116.1,1.54,0.35,2.22,2.54,1.99,12.29,-45.0,-1561.74,55.36
21.61,110.1,0.5,0.45,1.8,2.54,1.79,14.01,-42.0,-1278.79,52.98
20.84,93.4,2.2,0.18,1.74,2.08,1.58,12.79,-46.0,-1568.91,64.98
21.05,120.0,0.79,0.99,2.53,2.68,1.86,14.06,-41.0,-1282.95,42.89
23.13,98.9,0.55,0.27,0.5,2.17,1.67,12.3,-45.0,-1254.08,82.76
23.77,129.3,2.19,0.27,1.39,2.58,1.65,14.01,-42.0,-1679.93,66.09
21.41,90.0,3.56,0.64,0.5,2.08,1.57,11.54,-44.0,-1285.53,74.98
24.16,131.7,1.51,0.86,2.24,2.54,1.7,12.53,-43.0,-1593.97,68.4
16.39,124.4,1.89,0.17,0.53,2.12,1.62,13.63,-41.0,-903.47,35.4
19.33,115.8,0.51,0.78,3.64,2.36,1.86,11.15,-43.0,-1088.36,61.22
18.22,105.9,0.51,0.62,1.64,2.01,1.51,11.79,-47.0,-851.76,44.39
22.54,115.4,1.54,0.19,2.05,2.37,1.85,11.02,-46.0,-1646.39,56.93
20.72,118.7,1.63,0.77,2.49,2.4,1.66,14.58,-41.0,-1433.41,44.41
19.11,104.7,2.83,0.45,1.51,2.1,1.6,13.42,-45.0,-1466.44,62.09
17.17,118.8,3.03,0.18,1.74,2.12,1.62,12.79,-46.0,-1500.05,51.31
17.59,131.7,1.18,0.65,3.23,2.19,1.53,10.4,-46.0,-1123.05,55.54
20.73,127.3,0.59,0.2,3.47,2.48,1.85,10.82,-44.0,-1360.27,53.82
18.02,137.2,2.47,0.29,0.98,2.46,1.81,11.62,-45.0,-1226.87,53.54
21.77,133.0,0.5,0.98,1.82,2.78,1.8,14.14,-43.0,-1332.06,60.33
24.09,94.0,0.5,0.06,3.12,2.1,1.51,11.5,-45.0,-1514.51,35.66
15.8,132.4,1.83,0.79,2.23,2.18,1.6,10.37,-46.0,-977.5,35.77
19.03,121.1,3.01,0.99,1.49,2.42,1.92,13.95,-43.0,-1391.44,58.24
24.03,107.5,0.65,0.62,1.6,2.7,1.94,11.79,-44.0,-1407.64,77.56
23.8,134.5,2.19,0.27,0.89,2.24,1.74,14.01,-43.0,-1780.58,66.99
19.29,104.7,3.42,0.2,0.88,2.11,1.61,13.46,-45.0,-1390.6,63.49
23.17,104.5,3.27,0.9,0.58,2.06,1.55,10.33,-44.0,-1466.89,83.83
17.17,120.7,3.06,0.18,1.74,2.16,1.66,13.17,-46.0,-1515.68,52.09
23.07,84.8,0.73,0.27,0.59,2.15,1.65,12.06,-45.0,-1170.75,83.73
20.73,135.4,0.66,0.18,3.47,2.48,1.85,12.7,-45.0,-1419.0,38.69
24.58,103.5,0.5,0.83,3.14,2.62,1.7,13.75,-42.0,-1395.72,50.01
24.48,120.1,1.81,0.79,0.95,2.18,1.6,10.37,-43.0,-1624.11,81.05
20.75,111.8,1.51,0.59,2.57,2.43,1.88,13.64,-44.0,-1470.46,43.75
20.17,105.6,1.61,0.4,2.55,2.13,1.55,10.66,-46.0,-1392.84,38.74
24.14,109.6,1.35,0.14,1.44,2.36,1.66,12.1,-44.0,-1628.45,65.92
