X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
20.71,136.4,1.63,0.77,2.47,2.52,1.7,10.36,6.05,-43.0,-1412.69,56.94
19.19,114.7,1.86,0.51,1.15,2.32,1.65,10.52,2.31,-43.0,-1172.94,62.21
24.32,120.8,2.53,0.92,0.73,2.52,1.53,11.01,6.75,-30.0,-1868.4,66.22
16.39,124.6,1.89,0.38,2.95,2.11,1.61,13.63,12.98,-28.0,-1651.11,83.66
21.2,127.5,2.16,0.05,0.75,2.54,1.8,12.84,5.1,-41.0,-1595.71,79.12
20.16,98.2,1.04,0.62,2.4,2.1,1.57,10.55,3.55,-45.0,-1219.01,37.72
20.0,118.4,0.95,0.48,3.51,2.36,1.81,11.59,1.63,-46.0,-1282.02,36.02
24.99,121.6,0.5,0.55,1.9,2.46,1.63,13.93,4.08,-37.0,-1820.0,47.42
16.11,123.8,2.55,0.06,1.97,2.07,1.57,13.6,13.29,-27.0,-1726.14,75.72
21.95,138.9,0.51,0.15,2.66,2.35,1.5,13.78,3.75,-45.0,-1551.05,41.22
20.53,128.9,0.93,0.28,2.55,2.4,1.77,10.31,5.66,-44.0,-1419.85,42.76
24.58,106.4,0.53,0.54,2.67,2.72,1.88,10.3,5.92,-42.0,-1551.0,41.4
19.78,114.6,0.5,0.51,1.34,2.06,1.55,10.52,9.9,-25.0,-1666.9,75.57
19.54,124.6,1.74,0.22,2.85,2.3,1.62,13.75,2.58,-48.0,-1476.83,58.46
20.0,118.3,3.5,0.87,0.69,2.48,1.93,12.76,3.02,-44.0,-1335.39,77.74
24.77,109.5,0.62,0.86,2.7,2.01,1.51,10.28,6.07,-43.0,-1534.88,21.88
22.07,124.8,0.5,0.86,3.62,2.5,1.85,13.72,7.21,-31.0,-1547.02,84.33
21.4,120.1,1.72,0.27,2.31,2.58,1.87,13.32,8.26,-34.0,-1894.61,60.22
19.78,114.6,0.5,0.51,2.08,2.06,1.55,10.52,9.9,-25.0,-1687.06,65.67
21.06,118.3,0.74,0.56,0.61,2.4,1.67,12.41,9.4,-25.0,-1888.32,73.41
17.15,125.1,1.88,0.15,3.11,2.24,1.57,13.62,1.85,-48.0,-1386.28,51.14
22.98,130.4,3.46,0.61,0.5,2.55,1.93,12.64,7.38,-25.0,-2090.64,57.84
21.95,125.0,1.06,0.15,2.85,2.34,1.5,13.78,2.6,-46.0,-1535.7,38.33
22.13,98.1,2.17,0.01,0.5,2.0,1.5,13.7,7.17,-30.0,-1803.39,61.77
21.39,136.6,1.18,0.85,1.38,2.62,1.77,12.56,3.83,-41.0,-1466.67,71.54
24.97,133.0,0.5,0.55,3.03,2.36,1.63,10.33,6.05,-41.0,-1503.4,13.45
19.78,129.4,2.79,0.42,1.71,2.67,1.94,14.39,8.5,-29.0,-1970.74,75.52
24.45,110.0,0.93,0.82,2.5,2.75,1.76,10.03,8.46,-30.0,-1786.52,43.1
24.87,106.3,0.51,0.43,3.09,2.46,1.63,10.33,5.58,-43.0,-1494.98,22.49
16.84,124.6,2.66,0.05,1.55,2.15,1.65,10.0,15.63,-27.0,-1678.7,52.87
24.76,132.1,1.05,0.02,0.88,2.26,1.73,11.88,6.18,-30.0,-2069.24,57.69
22.82,89.7,0.54,0.65,3.28,2.23,1.73,13.79,0.32,-42.0,-1341.47,25.1
18.83,132.1,2.58,0.03,0.72,2.26,1.72,11.86,5.71,-42.0,-1439.8,78.7
22.4,130.5,0.5,0.94,3.57,2.31,1.62,10.96,7.39,-35.0,-1272.32,68.14
24.14,120.3,1.97,0.9,1.63,2.64,1.73,12.59,6.27,-30.0,-1949.57,58.63
24.82,110.9,0.67,0.86,2.67,2.54,1.9,12.16,6.02,-38.0,-1679.0,34.03
24.66,134.9,3.14,0.82,0.5,2.12,1.61,12.97,2.41,-43.0,-1719.05,72.02
21.85,126.9,0.62,0.6,1.88,2.52,1.64,13.95,7.2,-26.0,-1894.39,60.76
16.17,120.0,0.7,0.49,3.86,2.01,1.51,11.84,7.2,-47.0,-993.25,77.88
24.32,120.6,2.53,0.92,0.75,2.52,1.53,11.98,6.7,-28.0,-1939.72,57.9
17.29,113.1,2.33,0.16,1.15,2.03,1.53,13.78,10.24,-26.0,-1649.86,76.03
19.23,130.7,0.5,0.66,0.5,2.08,1.53,12.71,7.83,-25.0,-1629.69,90.94
18.28,124.6,1.86,0.86,2.97,2.26,1.57,10.3,1.94,-45.0,-1184.06,27.02
21.2,126.3,1.05,0.02,0.75,2.54,1.8,12.28,5.08,-35.0,-1572.21,74.91
24.87,135.9,2.75,0.15,0.6,2.56,1.73,12.0,5.98,-29.0,-2104.72,59.75
24.99,121.6,0.5,0.55,1.9,2.44,1.63,13.93,4.08,-37.0,-1835.84,46.57
23.47,122.7,0.6,0.34,1.63,2.56,1.73,14.41,5.13,-31.0,-1916.61,47.73
19.78,97.9,0.5,0.51,1.28,2.05,1.55,10.63,9.9,-25.0,-1580.0,81.4
21.91,120.2,1.71,0.87,2.21,2.42,1.57,10.55,7.68,-39.0,-1585.19,54.96
24.38,110.1,0.9,0.84,2.83,2.73,1.76,10.09,8.46,-31.0,-1701.86,41.81
16.11,125.3,2.55,0.06,0.83,2.09,1.59,13.6,13.29,-25.0,-1817.96,76.37
22.66,119.9,0.51,0.65,2.96,2.32,1.51,10.17,7.48,-40.0,-1468.03,31.84
20.47,128.3,0.85,0.65,2.96,2.7,1.9,10.18,9.06,-32.0,-1518.65,67.89
20.01,118.4,1.73,0.21,2.72,2.44,1.81,13.69,3.56,-48.0,-1509.19,65.73
22.98,130.2,3.46,0.66,0.5,2.55,1.93,12.64,7.38,-25.0,-2067.56,58.25
24.82,109.4,0.67,0.86,2.67,2.9,1.91,12.85,5.33,-35.0,-1730.81,46.7
15.42,136.7,0.93,0.28,2.55,2.2,1.7,10.09,5.34,-33.0,-1155.78,75.77
19.19,113.1,1.89,0.51,1.77,2.28,1.64,10.52,1.66,-45.0,-1256.2,51.52
20.0,118.3,0.92,0.25,3.58,2.5,1.81,11.17,1.56,-46.0,-1279.01,35.96
19.79,106.4,0.5,0.4,3.09,2.22,1.63,10.33,5.96,-41.0,-1224.43,52.88
17.33,124.5,1.86,0.24,3.11,2.25,1.57,10.3,1.63,-47.0,-1272.62,29.64
18.13,106.3,0.57,0.61,2.67,2.01,1.51,12.09,10.4,-25.0,-1572.19,73.18
19.12,139.3,0.5,0.2,2.64,2.42,1.57,13.78,3.49,-46.0,-1275.73,39.86
19.3,124.6,1.74,0.21,2.66,2.54,1.98,13.72,3.42,-48.0,-1514.85,64.28
24.99,118.4,0.5,0.55,1.9,2.46,1.63,14.01,4.0,-37.0,-1817.15,46.48
19.4,125.2,0.74,0.2,3.63,2.5,1.85,13.72,7.1,-46.0,-1357.44,28.34
16.29,123.8,2.55,0.06,1.91,2.03,1.53,10.44,13.5,-32.0,-1528.39,49.85
24.88,126.1,2.66,0.44,0.69,2.52,1.74,12.11,5.7,-31.0,-2021.93,66.02
19.54,138.7,0.56,0.22,2.66,2.28,1.62,13.75,3.31,-47.0,-1345.91,32.57
17.18,113.1,3.23,0.56,1.11,2.01,1.51,14.1,8.28,-38.0,-1461.27,69.63
24.21,100.6,3.2,0.56,0.5,2.53,1.71,14.6,4.18,-34.0,-1800.68,62.16
19.33,98.9,0.54,0.75,3.93,2.01,1.51,10.63,9.9,-27.0,-1135.31,128.07
20.18,122.8,0.55,0.64,1.19,2.37,1.69,14.72,8.1,-25.0,-1932.97,66.41
22.67,90.3,0.5,0.44,3.3,2.16,1.57,13.85,0.62,-43.0,-1371.33,21.19
16.76,123.0,1.98,0.38,2.93,2.11,1.61,13.63,12.61,-28.0,-1644.05,86.64
20.53,127.4,1.69,0.29,2.5,2.76,1.78,10.09,12.02,-25.0,-1763.88,72.62
23.24,126.0,1.23,0.41,2.44,2.16,1.57,10.39,6.6,-43.0,-1663.34,41.12
24.72,120.0,0.5,0.54,3.15,2.36,1.5,11.84,6.44,-36.0,-1591.58,30.86
19.82,138.1,2.47,0.4,1.71,2.19,1.5,10.55,11.12,-28.0,-1746.37,68.79
24.4,134.9,0.6,0.66,0.5,2.35,1.8,11.57,4.07,-40.0,-1741.68,75.53
23.59,111.6,0.54,0.48,3.26,2.66,1.82,11.96,5.48,-43.0,-1457.3,31.13
24.82,110.9,0.67,0.86,2.67,2.52,1.9,12.18,5.7,-40.0,-1670.11,35.32
18.85,137.9,2.62,0.93,1.93,2.51,1.64,11.53,11.3,-25.0,-1739.0,86.44
18.77,121.5,0.78,0.76,3.71,2.34,1.5,13.9,1.81,-45.0,-1074.38,33.22
18.8,136.0,2.11,0.58,1.93,2.0,1.5,12.87,0.05,-45.0,-1459.33,49.95
20.39,93.7,2.9,0.21,1.09,2.03,1.53,11.12,8.94,-40.0,-1540.94,59.35
21.95,138.9,0.51,0.51,2.66,2.36,1.5,14.08,3.02,-44.0,-1490.24,44.11
23.5,120.1,2.53,0.92,0.73,2.92,1.93,11.0,7.13,-27.0,-1844.85,66.17
24.76,132.1,2.79,0.03,0.83,2.26,1.73,11.88,6.36,-32.0,-2125.93,58.4
20.46,119.9,1.64,0.75,2.49,2.46,1.67,10.48,5.93,-43.0,-1369.32,54.53
24.88,135.9,2.68,0.41,0.69,2.52,1.74,12.11,5.7,-29.0,-2104.75,63.29
