X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
20.0,118.3,0.92,0.25,3.58,2.5,1.81,11.17,1.56,20.34
19.79,106.4,0.5,0.4,3.09,2.22,1.63,10.33,5.96,19.83
17.33,124.5,1.86,0.24,3.11,2.25,1.57,10.3,1.63,19.65
18.13,106.3,0.57,0.61,2.67,2.01,1.51,12.09,10.4,20.01
19.12,139.3,0.5,0.2,2.64,2.42,1.57,13.78,3.49,20.09
19.3,124.6,1.74,0.21,2.66,2.54,1.98,13.72,3.42,20.73
24.99,118.4,0.5,0.55,1.9,2.46,1.63,14.01,4.0,20.39
19.4,125.2,0.74,0.2,3.63,2.5,1.85,13.72,7.1,19.61
16.29,123.8,2.55,0.06,1.91,2.03,1.53,10.44,13.5,19.76
24.88,126.1,2.66,0.44,0.69,2.52,1.74,12.11,5.7,20.44
19.54,138.7,0.56,0.22,2.66,2.28,1.62,13.75,3.31,19.87
17.18,113.1,3.23,0.56,1.11,2.01,1.51,14.1,8.28,19.7
24.21,100.6,3.2,0.56,0.5,2.53,1.71,14.6,4.18,19.13
19.33,98.9,0.54,0.75,3.93,2.01,1.51,10.63,9.9,19.2
20.18,122.8,0.55,0.64,1.19,2.37,1.69,14.72,8.1,18.9
22.67,90.3,0.5,0.44,3.3,2.16,1.57,13.85,0.62,19.52
16.76,123.0,1.98,0.38,2.93,2.11,1.61,13.63,12.61,19.98
20.53,127.4,1.69,0.29,2.5,2.76,1.78,10.09,12.02,20.2
23.24,126.0,1.23,0.41,2.44,2.16,1.57,10.39,6.6,20.55
24.72,120.0,0.5,0.54,3.15,2.36,1.5,11.84,6.44,20.38
19.82,138.1,2.47,0.4,1.71,2.19,1.5,10.55,11.12,20.39
24.4,134.9,0.6,0.66,0.5,2.35,1.8,11.57,4.07,20.99
23.59,111.6,0.54,0.48,3.26,2.66,1.82,11.96,5.48,20.94
24.82,110.9,0.67,0.86,2.67,2.52,1.9,12.18,5.7,20.99
18.85,137.9,2.62,0.93,1.93,2.51,1.64,11.53,11.3,19.56
18.77,121.5,0.78,0.76,3.71,2.34,1.5,13.9,1.81,20.02
18.8,136.0,2.11,0.58,1.93,2.0,1.5,12.87,0.05,19.25
20.39,93.7,2.9,0.21,1.09,2.03,1.53,11.12,8.94,19.86
21.95,138.9,0.51,0.51,2.66,2.36,1.5,14.08,3.02,20.07
23.5,120.1,2.53,0.92,0.73,2.92,1.93,11.0,7.13,20.74
24.76,132.1,2.79,0.03,0.83,2.26,1.73,11.88,6.36,20.6
20.46,119.9,1.64,0.75,2.49,2.46,1.67,10.48,5.93,19.33
24.88,135.9,2.68,0.41,0.69,2.52,1.74,12.11,5.7,20.62
20.3,120.5,1.97,0.85,2.24,2.6,1.77,11.83,8.47,20.71
20.31,114.6,0.5,0.51,3.92,2.06,1.55,10.52,9.9,18.91
