X1,X2,X3,X4,X5,X6,AVG,RIP
15.14,60.3,0.5,0.02,3.07,0.71,-1395.277,18.921
24.91,136.9,0.6,0.0,1.88,0.52,-2130.125,45.841
15.04,105.4,0.5,0.71,3.29,0.62,-1265.778,14.236
15.14,66.0,0.5,0.01,3.16,0.7,-1439.135,19.581
24.39,105.1,0.56,0.01,2.44,0.5,-1949.878,35.806
24.39,118.9,0.51,0.01,2.56,0.5,-1945.572,35.333
15.04,105.4,0.5,0.67,3.29,0.62,-1288.676,14.984
15.03,111.5,0.5,0.67,3.29,0.6,-1316.038,16.204
15.04,105.4,0.5,0.66,3.29,0.62,-1292.818,15.143
15.09,105.4,0.5,0.62,3.26,0.62,-1309.425,15.937
15.14,101.3,0.5,0.83,3.19,0.58,-1245.554,12.781
24.4,118.7,0.53,0.01,2.3,0.5,-2033.654,39.185
15.13,99.8,0.5,0.71,3.15,0.64,-1249.759,13.125
24.4,139.4,0.52,0.01,2.17,0.5,-2098.735,42.415
24.39,106.1,0.53,0.01,2.58,0.5,-1896.361,34.088
15.01,74.1,0.5,0.73,3.23,0.73,-1091.696,7.644
15.01,61.2,0.5,0.01,3.06,0.72,-1380.248,18.636
15.01,74.1,0.5,0.73,3.23,0.72,-1099.135,8.163
