X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
17.27,136.8,3.39,0.54,1.12,2.12,1.57,10.01,10.12,-45.0,-1279.59,51.01
20.5,127.4,0.5,0.29,3.91,2.3,1.78,11.27,16.34,-40.0,-1263.58,35.53
19.9,107.9,0.55,0.61,1.95,2.26,1.66,14.46,14.62,-40.0,-1190.25,38.91
20.5,127.4,2.11,0.28,1.73,2.31,1.78,11.08,16.0,-40.0,-1545.74,83.37
20.0,118.3,0.97,0.25,3.27,2.31,1.81,14.38,17.58,-40.0,-1565.64,49.84
21.75,126.8,1.55,0.77,2.4,2.56,1.67,10.63,10.71,-44.0,-1366.65,61.73
15.16,137.3,3.39,0.01,1.12,2.16,1.57,10.52,12.76,-47.0,-1210.67,55.74
19.28,124.6,1.74,0.21,2.71,2.53,1.87,10.92,11.77,-46.0,-1436.99,44.66
20.82,119.0,1.64,0.46,1.72,2.12,1.62,13.54,15.53,-40.0,-1595.26,63.2
20.42,122.8,0.62,0.33,2.74,2.58,1.73,14.33,17.6,-40.0,-1329.37,29.07
19.38,124.6,1.74,0.21,2.62,2.55,1.97,10.66,11.42,-46.0,-1448.94,44.56
21.9,136.7,1.1,0.13,2.8,2.38,1.53,13.66,16.0,-40.0,-1580.95,39.81
24.76,139.6,0.52,0.48,1.15,2.52,1.82,11.84,14.52,-42.0,-1586.57,65.43
18.3,126.2,0.58,0.23,1.5,2.2,1.7,10.27,17.7,-40.0,-930.2,76.6
21.79,134.0,3.34,0.84,0.58,2.59,1.95,11.75,12.35,-44.0,-1418.35,76.38
18.74,124.6,0.75,0.07,3.75,2.46,1.64,13.63,17.07,-40.0,-1289.94,51.46
19.43,123.5,1.86,0.21,2.04,2.16,1.65,10.82,11.12,-46.0,-1484.92,50.26
24.27,73.8,1.46,0.29,1.6,2.04,1.54,14.04,17.74,-40.0,-1581.35,60.5
15.14,135.9,0.55,0.08,2.15,2.13,1.63,14.26,14.48,-43.0,-914.14,83.84
18.3,126.2,1.19,0.29,1.38,2.16,1.66,10.27,10.39,-45.0,-1014.7,49.52
24.98,109.8,1.7,0.86,1.54,2.53,1.9,10.08,12.89,-43.0,-1526.85,87.11
20.51,120.3,0.52,0.33,0.67,2.56,1.73,11.14,13.28,-44.0,-1065.3,83.84
20.16,123.6,1.39,0.63,2.3,2.09,1.56,11.5,11.84,-45.0,-1398.49,37.6
20.2,99.2,0.58,0.34,0.64,2.05,1.55,13.58,17.6,-40.0,-997.84,73.44
21.91,100.9,0.7,0.09,2.8,2.1,1.55,13.57,14.83,-44.0,-1556.16,31.69
