X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP,COG
18.36,139.9,0.89,0.02,2.06,2.01,1.51,11.52,-46.0,-1334.29,28.17,19.39
16.84,138.6,1.03,0.01,1.35,2.01,1.51,11.79,-45.0,-971.68,22.36,18.96
23.53,127.9,0.61,0.01,3.11,2.07,1.57,12.91,-44.0,-1700.62,25.16,20.9
17.79,136.3,1.01,0.11,2.77,2.04,1.51,11.81,-47.0,-1374.76,41.1,18.84
23.52,116.8,0.7,0.04,3.13,2.01,1.51,11.7,-46.0,-1633.55,28.57,19.06
15.62,139.4,1.05,0.01,3.83,2.02,1.52,15.0,-42.0,-1534.43,79.64,15.51
23.5,138.0,0.5,0.01,3.22,2.01,1.51,14.98,-40.0,-1692.98,10.92,14.12
22.89,135.1,0.73,0.0,2.91,2.06,1.55,11.26,-45.0,-1695.02,33.55,20.13
15.84,135.3,1.09,0.05,3.65,2.01,1.51,14.97,-44.0,-1497.1,79.1,17.68
23.52,130.5,0.52,0.04,3.25,2.01,1.51,15.0,-40.0,-1691.27,12.6,14.06
23.53,126.6,0.55,0.01,3.11,2.07,1.57,11.51,-44.0,-1660.45,27.62,20.08
15.84,139.4,1.09,0.01,3.83,2.02,1.52,14.98,-43.0,-1536.22,79.06,16.5
23.53,137.6,0.5,0.06,3.32,2.12,1.51,15.0,-40.0,-1572.11,3.77,14.2
16.02,138.6,1.05,0.01,3.29,2.02,1.51,13.64,-45.0,-1465.6,75.76,18.57
23.52,125.1,0.98,0.01,2.55,2.04,1.54,14.99,-41.0,-1891.9,41.73,16.9
16.27,124.2,1.32,0.01,1.48,2.02,1.51,11.79,-45.0,-968.04,28.64,18.76
23.53,139.8,0.5,0.06,3.32,2.12,1.51,15.0,-40.0,-1567.29,3.76,14.21
