X1,X2,X3,X4,X5,X6,X7,X8,COG
15,110,1,0.5,4,2.0,1.5,15,18.83
23,110,1,0.5,3,2.5,1.5,10,20.14
22,150,1,0.5,1,2.0,1.5,13,19.85
20,100,1,0.5,3,2.0,1.5,15,18.97
25,120,2,0.5,1,2.0,1.5,15,18.92
25,150,1,0.5,2,2.5,1.5,10,20.22
23,150,2,0.5,1,2.0,1.5,15,18.86
15,120,1,0.5,3,2.5,1.5,15,19.06
21,100,1,0.5,2,2.0,1.5,14,20.03
15,100,1,0.5,1,2.0,1.5,10,20.04
18,100,1,0.5,3,2.0,1.5,11,20.11
20,140,2,0.5,2,2.0,1.5,15,18.98
23,110,2,0.5,2,2.5,1.5,13,19.97
25,150,1,0.5,1,2.0,1.5,15,18.84
23,150,1,0.5,1,2.0,1.5,10,19.99
17,100,1,0.5,1,2.5,1.5,11,20.0
16,150,2,0.5,1,2.0,1.5,12,20.12
25,120,1,0.5,1,2.0,1.5,13,19.93
17,150,3,0.5,1,2.0,1.5,13,19.89
19,140,3,0.5,1,2.0,1.5,13,19.9
15,110,1,0.5,4,2.0,1.5,11,19.82
15,140,4,0.5,1,2.5,1.5,10,19.95
24,150,2,0.5,1,2.0,1.5,10,20.15
18,130,1,0.5,3,2.0,1.5,15,18.91
15,140,1,0.5,1,2.0,1.5,13,19.92
15,150,1,0.5,1,2.0,1.5,12,20.26
23,100,2,0.5,1,2.0,1.5,10,20.05
22,120,1,0.5,2,2.5,1.5,15,18.94
15,140,1,0.5,4,2.5,1.5,13,19.74
22,120,2,0.5,2,2.5,1.5,10,20.23
15,110,1,0.5,1,2.5,1.5,11,19.95
16,100,3,0.5,1,2.0,1.5,13,19.72
16,120,1,0.5,1,2.5,1.5,12,20.25
16,100,1,0.5,3,2.5,1.5,10,20.1
24,150,1,0.5,1,2.0,1.5,15,18.97
22,130,3,0.5,1,2.5,1.5,15,18.84
23,150,1,0.5,1,2.0,1.5,13,19.94
22,140,2,0.5,2,2.0,1.5,15,18.94
15,110,1,0.5,4,2.0,1.5,14,19.86
18,150,1,0.5,1,2.0,1.5,10,20.09
16,150,2,0.5,1,2.0,1.5,15,18.66
19,150,2,0.5,2,2.0,1.5,15,18.99
15,110,1,0.5,4,2.5,1.5,14,19.94
15,100,1,0.5,4,2.0,1.5,15,18.85
15,150,2,0.5,1,2.0,1.5,12,20.31
15,120,1,0.5,2,2.0,1.5,10,20.03
18,140,1,0.5,1,2.0,1.5,13,19.81
23,150,2,0.5,1,2.0,1.5,13,19.92
16,110,2,0.5,2,2.0,1.5,11,19.94
22,150,2,0.5,1,2.0,1.5,14,20.06
18,150,1,0.5,1,2.0,1.5,13,19.76
