X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
16,140,3,0.5,1,2.0,1.5,12,-46.0,-1163.71,42.92
17,130,1,0.5,1,2.0,1.5,14,-41.0,-909.97,39.6
22,100,1,0.5,3,2.5,1.5,10,-44.0,-1257.85,45.49
19,150,3,0.5,1,2.0,1.5,15,-41.0,-1508.92,56.12
20,120,3,0.5,1,2.0,1.5,15,-41.0,-1511.11,61.92
22,140,2,0.5,1,2.0,1.5,14,-43.0,-1646.55,62.69
19,130,2,0.5,1,2.5,1.5,12,-43.0,-1121.45,61.24
23,130,2,0.5,1,2.5,1.5,11,-43.0,-1517.43,77.86
24,110,2,0.5,1,2.5,1.5,11,-43.0,-1484.29,83.41
18,120,1,0.5,3,2.5,1.5,11,-45.0,-1011.22,37.89
17,100,1,0.5,4,2.5,1.5,11,-45.0,-861.33,78.08
15,100,2,0.5,1,2.5,1.5,10,-46.0,-574.09,32.54
21,130,3,0.5,1,2.0,1.5,13,-44.0,-1546.49,68.35
22,110,2,0.5,2,2.5,1.5,11,-43.0,-1396.93,66.88
18,110,3,0.5,1,2.5,1.5,10,-43.0,-1038.13,51.44
19,140,1,0.5,1,2.5,1.5,15,-39.0,-1186.87,52.1
24,130,1,0.5,2,2.0,1.5,12,-44.0,-1694.48,53.89
18,150,1,0.5,1,2.0,1.5,15,-40.0,-1160.94,35.44
25,150,1,0.5,1,2.0,1.5,11,-44.0,-1765.64,71.94
15,100,1,0.5,1,2.5,1.5,14,-40.0,-620.31,74.25
15,150,3,0.5,1,2.0,1.5,12,-46.0,-1106.05,41.01
15,100,1,0.5,1,2.5,1.5,15,-35.0,-705.0,89.56
18,150,2,0.5,1,2.0,1.5,12,-45.0,-1232.29,44.42
23,100,1,0.5,2,2.0,1.5,15,-42.0,-1602.01,37.78
16,120,2,0.5,1,2.5,1.5,11,-44.0,-759.25,30.56
24,120,2,0.5,1,2.5,1.5,15,-40.0,-1596.65,58.13
21,130,1,0.5,3,2.0,1.5,12,-45.0,-1463.82,27.07
22,150,1,0.5,3,2.0,1.5,14,-43.0,-1542.0,35.91
19,150,3,0.5,1,2.0,1.5,10,-44.0,-1453.6,62.16
20,140,3,0.5,1,2.0,1.5,12,-45.0,-1488.82,69.0
22,140,1,0.5,1,2.5,1.5,14,-42.0,-1414.53,63.14
25,150,2,0.5,1,2.0,1.5,11,-44.0,-1872.25,76.79
22,100,3,0.5,1,2.5,1.5,12,-43.0,-1344.14,72.61
21,150,3,0.5,1,2.5,1.5,15,-40.0,-1494.46,57.97
17,140,1,0.5,4,2.5,1.5,11,-45.0,-905.76,99.02
23,100,2,0.5,2,2.5,1.5,10,-43.0,-1420.23,70.16
21,130,3,0.5,1,2.5,1.5,12,-43.0,-1386.75,69.95
21,100,3,0.5,1,2.0,1.5,15,-41.0,-1508.38,63.93
16,140,1,0.5,3,2.5,1.5,10,-46.0,-869.83,65.97
23,150,1,0.5,3,2.5,1.5,13,-41.0,-1414.8,40.12
24,150,2,0.5,1,2.0,1.5,14,-43.0,-1787.81,64.65
17,110,4,0.5,1,2.0,1.5,10,-46.0,-1187.07,48.34
24,100,2,0.5,1,2.5,1.5,15,-39.0,-1505.88,59.94
23,100,2,0.5,2,2.5,1.5,13,-43.0,-1440.67,65.26
15,110,1,0.5,4,2.5,1.5,12,-46.0,-795.42,109.0
24,100,1,0.5,2,2.5,1.5,11,-44.0,-1420.87,69.41
15,120,1,0.5,1,2.5,1.5,10,-46.0,-611.89,36.41
24,120,2,0.5,1,2.5,1.5,10,-43.0,-1543.16,84.33
16,150,3,0.5,2,2.0,1.5,12,-46.0,-1380.12,46.43
25,120,1,0.5,1,2.0,1.5,10,-44.0,-1606.53,76.58
22,100,1,0.5,3,2.5,1.5,12,-44.0,-1270.13,44.29
21,120,3,0.5,1,2.0,1.5,10,-44.0,-1516.64,71.54
19,150,3,0.5,1,2.5,1.5,14,-42.0,-1284.39,56.39
22,130,3,0.5,1,2.0,1.5,13,-44.0,-1608.38,69.44
18,100,3,0.5,1,2.5,1.5,15,-38.0,-1170.18,44.82
18,130,1,0.5,1,2.0,1.5,14,-42.0,-1014.77,41.37
16,140,1,0.5,4,2.0,1.5,11,-48.0,-1076.89,105.0
20,100,2,0.5,1,2.0,1.5,15,-41.0,-1401.12,58.75
18,150,1,0.5,2,2.0,1.5,10,-46.0,-1110.37,33.63
15,100,1,0.5,1,2.5,1.5,10,-46.0,-549.16,37.09
23,130,2,0.5,1,2.0,1.5,12,-44.0,-1644.69,74.59
21,150,1,0.5,2,2.5,1.5,14,-42.0,-1410.67,49.41
19,120,1,0.5,2,2.0,1.5,12,-45.0,-1194.32,32.57
22,110,1,0.5,1,2.5,1.5,12,-44.0,-1233.24,76.4
25,110,2,0.5,1,2.0,1.5,15,-41.0,-1746.82,63.29
15,130,1,0.5,1,2.0,1.5,15,-36.0,-808.22,87.89
24,150,2,0.5,1,2.5,1.5,11,-44.0,-1649.54,80.61
25,130,1,0.5,1,2.0,1.5,11,-44.0,-1676.34,74.6
16,140,1,0.5,1,2.0,1.5,13,-44.0,-807.49,31.77
18,100,1,0.5,3,2.5,1.5,10,-45.0,-926.62,37.74
25,120,1,0.5,1,2.5,1.5,10,-44.0,-1552.79,87.54
23,140,1,0.5,2,2.0,1.5,14,-43.0,-1725.22,42.45
23,150,2,0.5,1,2.0,1.5,15,-41.0,-1774.5,57.16
24,140,1,0.5,1,2.0,1.5,13,-44.0,-1685.08,60.76
15,110,1,0.5,4,2.0,1.5,12,-49.0,-1027.14,101.05
21,150,2,0.5,1,2.0,1.5,12,-44.0,-1539.45,65.57
23,130,1,0.5,2,2.0,1.5,12,-45.0,-1621.51,50.85
18,120,3,0.5,1,2.5,1.5,15,-39.0,-1219.77,45.89
19,120,3,0.5,1,2.0,1.5,15,-41.0,-1446.92,58.55
17,100,1,0.5,1,2.0,1.5,14,-41.0,-808.94,42.21
20,130,1,0.5,1,2.0,1.5,12,-44.0,-1156.95,62.11
23,150,1,0.5,2,2.0,1.5,13,-44.0,-1715.68,46.78
25,130,2,0.5,1,2.0,1.5,15,-41.0,-1798.9,61.02
17,110,1,0.5,3,2.5,1.5,10,-45.0,-877.31,48.83
22,140,1,0.5,3,2.5,1.5,14,-42.0,-1432.6,31.19
18,150,1,0.5,1,2.5,1.5,10,-46.0,-968.32,65.75
17,110,2,0.5,1,2.5,1.5,15,-36.0,-1020.91,51.29
17,150,3,0.5,1,2.0,1.5,15,-41.0,-1378.51,43.71
15,100,2,0.5,3,2.5,1.5,12,-45.0,-873.34,64.34
15,100,3,0.5,1,2.0,1.5,13,-45.0,-1034.22,49.52
25,150,2,0.5,1,2.0,1.5,13,-44.0,-1836.17,71.69
16,100,1,0.5,3,2.0,1.5,11,-48.0,-959.85,71.22
15,100,2,0.5,1,2.5,1.5,13,-41.0,-662.45,49.67
22,150,2,0.5,1,2.0,1.5,13,-44.0,-1670.4,64.23
19,120,1,0.5,1,2.0,1.5,10,-46.0,-989.27,68.82
16,150,3,0.5,1,2.0,1.5,12,-46.0,-1181.83,41.55
15,140,4,0.5,1,2.0,1.5,12,-46.0,-1147.99,41.98
15,100,1,0.5,1,2.5,1.5,12,-45.0,-555.97,44.6
15,120,1,0.5,2,2.0,1.5,13,-45.0,-772.81,73.34
22,120,2,0.5,2,2.5,1.5,15,-40.0,-1516.49,56.06
25,140,1,0.5,1,2.5,1.5,10,-44.0,-1661.01,83.96
19,150,2,0.5,2,2.0,1.5,10,-45.0,-1461.17,43.35
15,150,2,0.5,1,2.0,1.5,12,-44.0,-873.53,34.01
22,100,1,0.5,3,2.0,1.5,10,-45.0,-1398.57,33.04
18,100,1,0.5,3,2.0,1.5,12,-47.0,-1155.97,48.49
22,120,3,0.5,1,2.5,1.5,11,-43.0,-1423.68,78.26
21,100,1,0.5,2,2.0,1.5,15,-42.0,-1449.79,40.86
20,120,3,0.5,1,2.5,1.5,14,-41.0,-1312.19,62.31
15,150,3,0.5,1,2.5,1.5,15,-38.0,-1042.63,43.51
15,140,1,0.5,3,2.5,1.5,13,-45.0,-853.0,92.12
22,150,2,0.5,1,2.5,1.5,14,-41.0,-1543.45,62.03
15,150,3,0.5,1,2.0,1.5,15,-41.0,-1245.94,48.32
24,100,1,0.5,2,2.5,1.5,10,-44.0,-1413.06,70.6
23,100,1,0.5,1,2.5,1.5,15,-40.0,-1358.35,57.85
18,150,1,0.5,1,2.5,1.5,15,-39.0,-1096.38,45.99
22,150,1,0.5,2,2.0,1.5,11,-44.0,-1610.57,46.89
17,150,2,0.5,2,2.5,1.5,10,-44.0,-1062.77,28.66
18,130,1,0.5,1,2.0,1.5,15,-39.0,-1071.47,42.82
23,150,1,0.5,2,2.0,1.5,14,-43.0,-1750.2,41.78
16,150,2,0.5,1,2.0,1.5,11,-45.0,-931.28,26.17
25,130,1,0.5,2,2.0,1.5,11,-44.0,-1765.5,56.96
20,150,1,0.5,1,2.5,1.5,12,-44.0,-1200.39,69.64
15,140,2,0.5,1,2.0,1.5,14,-42.0,-970.54,45.01
25,100,2,0.5,1,2.0,1.5,13,-44.0,-1669.69,76.26
18,100,3,0.5,1,2.0,1.5,15,-41.0,-1350.83,52.48
18,120,1,0.5,2,2.0,1.5,11,-46.0,-1025.02,28.21
15,110,1,0.5,4,2.5,1.5,12,-46.0,-795.42,109.0
25,150,1,0.5,1,2.5,1.5,14,-42.0,-1712.31,64.19
17,100,1,0.5,1,2.0,1.5,11,-47.0,-721.39,41.94
15,100,3,0.5,1,2.0,1.5,14,-44.0,-1074.06,52.47
25,120,2,0.5,1,2.5,1.5,14,-42.0,-1629.54,67.96
17,140,1,0.5,3,2.5,1.5,10,-45.0,-972.51,51.11
22,150,1,0.5,3,2.5,1.5,13,-43.0,-1383.56,34.36
24,110,2,0.5,1,2.5,1.5,10,-43.0,-1491.34,84.24
17,100,1,0.5,4,2.5,1.5,12,-45.0,-873.59,76.17
15,150,1,0.5,2,2.0,1.5,13,-45.0,-909.86,70.77
15,120,1,0.5,1,2.0,1.5,10,-47.0,-609.54,37.72
17,100,3,0.5,1,2.5,1.5,10,-43.0,-907.5,38.22
15,150,2,0.5,1,2.0,1.5,10,-45.0,-798.11,24.73
23,140,3,0.5,1,2.5,1.5,14,-42.0,-1589.24,62.76
20,140,2,0.5,1,2.0,1.5,15,-41.0,-1543.95,58.69
21,130,1,0.5,3,2.0,1.5,15,-42.0,-1580.72,36.29
15,130,1,0.5,1,2.0,1.5,14,-41.0,-718.02,71.39
16,140,3,0.5,2,2.0,1.5,13,-46.0,-1396.47,49.35
21,150,1,0.5,1,2.5,1.5,15,-40.0,-1401.01,56.32
16,110,2,0.5,1,2.5,1.5,10,-46.0,-707.35,36.71
15,150,3,0.5,2,2.0,1.5,12,-47.0,-1294.96,48.77
25,100,2,0.5,1,2.0,1.5,15,-41.0,-1709.45,64.83
16,140,1,0.5,1,2.0,1.5,15,-38.0,-934.58,62.74
24,120,2,0.5,1,2.0,1.5,14,-43.0,-1717.72,68.21
18,150,1,0.5,1,2.0,1.5,12,-45.0,-1014.64,48.54
15,100,1,0.5,4,2.0,1.5,10,-49.0,-935.57,110.11
22,100,3,0.5,1,2.0,1.5,15,-41.0,-1560.5,63.55
17,120,1,0.5,1,2.5,1.5,11,-46.0,-771.73,47.89
19,150,1,0.5,1,2.0,1.5,12,-44.0,-1148.52,55.5
21,150,2,0.5,1,2.0,1.5,12,-44.0,-1539.45,65.57
18,150,2,0.5,1,2.5,1.5,15,-39.0,-1210.05,41.83
23,100,1,0.5,2,2.0,1.5,10,-45.0,-1453.53,51.83
15,100,2,0.5,1,2.0,1.5,10,-47.0,-615.99,36.06
18,100,2,0.5,1,2.0,1.5,13,-44.0,-1091.54,41.02
23,140,1,0.5,2,2.5,1.5,10,-43.0,-1537.98,66.6
16,100,2,0.5,2,2.5,1.5,10,-44.0,-818.88,24.5
22,140,1,0.5,3,2.5,1.5,15,-41.0,-1441.7,30.78
16,140,1,0.5,2,2.0,1.5,11,-46.0,-883.13,45.09
19,120,3,0.5,1,2.5,1.5,15,-39.0,-1280.31,52.69
16,150,2,0.5,2,2.5,1.5,15,-39.0,-1148.31,45.53
25,140,1,0.5,1,2.0,1.5,14,-43.0,-1763.08,59.31
15,110,1,0.5,1,2.0,1.5,10,-47.0,-588.77,36.71
18,150,2,0.5,1,2.0,1.5,11,-45.0,-1176.73,48.46
17,150,2,0.5,1,2.0,1.5,15,-41.0,-1295.4,42.1
18,110,3,0.5,1,2.5,1.5,15,-38.0,-1192.79,46.09
15,140,2,0.5,2,2.0,1.5,13,-46.0,-1174.54,45.57
22,100,1,0.5,1,2.0,1.5,12,-44.0,-1226.02,68.28
