X1,X2,X3,X4,X5,X6,ANG,AVG,RIP
18,120,3,1,1,1.0,-44.0,-1099.34,47.33
19,100,3,2,1,1.0,-43.0,-1019.11,50.53
17,150,2,1,1,2.5,-45.0,-940.14,59.62
24,140,1,1,2,0.5,-44.0,-1796.85,43.24
16,150,2,1,3,1.5,-40.0,-870.8,48.32
24,140,1,2,1,2.5,-44.0,-1647.61,69.84
25,130,2,1,1,1.0,-43.0,-1764.88,59.92
16,100,1,1,3,1.0,-48.0,-977.23,23.65
18,110,2,1,2,0.5,-45.0,-1377.75,57.32
17,100,3,1,1,1.0,-44.0,-976.47,33.91
15,110,1,1,1,1.5,-45.0,-661.56,54.2
17,110,3,2,1,2.5,-45.0,-813.4,51.23
16,150,2,1,2,1.0,-45.0,-1090.99,43.0
24,140,2,1,1,2.0,-43.0,-1642.81,69.0
15,110,2,2,1,1.5,-45.0,-668.27,52.86
18,100,1,1,1,0.5,-45.0,-1123.76,59.88
19,100,3,2,1,1.5,-44.0,-974.65,57.76
24,150,2,2,1,1.0,-43.0,-1695.86,63.62
24,100,1,1,2,2.0,-44.0,-1424.29,56.89
17,120,2,2,1,1.0,-45.0,-904.17,46.71
19,100,1,2,2,0.5,-47.0,-1172.11,48.78
18,150,2,1,1,0.5,-44.0,-1305.38,65.24
21,100,3,2,1,1.5,-44.0,-1151.13,62.57
25,100,2,2,1,0.5,-44.0,-1582.2,46.69
15,110,1,1,2,1.5,-46.0,-722.04,52.37
25,120,1,1,1,1.0,-44.0,-1707.27,59.82
17,110,2,1,2,0.5,-44.0,-1341.37,57.14
23,110,2,1,1,0.5,-44.0,-1615.15,54.41
24,100,1,1,1,1.0,-45.0,-1524.56,55.48
24,140,2,2,1,2.5,-43.0,-1630.01,71.94
20,100,3,2,1,0.5,-43.0,-1185.93,45.44
15,100,1,1,2,1.0,-47.0,-853.73,25.92
19,100,2,1,1,0.5,-45.0,-1265.72,58.56
16,110,1,2,2,0.5,-48.0,-979.52,33.44
17,120,2,1,2,1.5,-45.0,-943.29,43.85
15,100,1,2,1,1.0,-46.0,-640.97,57.05
16,110,1,1,1,2.5,-45.0,-705.46,47.59
24,150,1,2,1,1.5,-44.0,-1696.45,69.38
16,120,3,2,1,0.5,-44.0,-942.59,27.77
17,110,3,1,1,0.5,-45.0,-1171.69,38.16
24,120,1,2,1,0.5,-45.0,-1646.32,63.14
15,120,1,1,1,0.5,-45.0,-904.41,39.99
18,130,2,1,2,1.0,-45.0,-1175.1,53.28
15,110,2,1,1,0.5,-44.0,-1001.26,66.39
19,140,1,2,2,0.5,-46.0,-1305.62,64.32
19,100,2,2,1,0.5,-45.0,-1113.86,46.71
20,150,3,2,1,0.5,-42.0,-1370.2,61.93
16,110,1,2,2,1.0,-47.0,-822.2,51.43
15,100,1,2,1,0.5,-46.0,-734.64,45.81
25,100,2,1,1,1.0,-44.0,-1605.05,53.53
21,140,3,1,1,0.5,-43.0,-1548.27,54.13
17,100,1,1,1,1.0,-45.0,-892.69,43.08
17,120,3,1,1,1.5,-44.0,-931.47,44.76
15,100,3,1,1,0.5,-45.0,-1022.42,32.42
24,130,2,1,1,0.5,-44.0,-1780.0,56.22
23,150,2,1,1,0.5,-44.0,-1758.77,59.08
18,100,1,1,3,1.0,-48.0,-1055.06,30.94
17,100,3,1,1,0.5,-45.0,-1144.59,35.92
20,100,1,1,1,1.0,-45.0,-1160.27,60.61
15,120,3,1,1,1.0,-44.0,-870.24,31.54
16,150,2,1,1,0.5,-44.0,-1160.69,55.94
22,110,1,1,2,1.5,-45.0,-1328.56,58.54
16,100,1,1,3,0.5,-48.0,-1268.79,36.83
24,100,2,2,1,0.5,-44.0,-1514.51,48.08
24,130,2,1,1,1.5,-43.0,-1637.63,64.06
24,100,2,1,1,0.5,-44.0,-1635.42,51.28
15,110,3,1,2,1.0,-43.0,-963.84,31.06
15,120,1,1,2,1.0,-47.0,-883.53,30.82
