X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,AVG,RIP,COG
22,140,1,0.5,1,2.0,1.5,10,10,16,16,1823.76,56.4,20.11
24,120,1,0.5,1,2.0,1.5,10,10,4,16,1725.99,69.67,19.15
16,140,1,0.5,3,2.0,1.5,13,15,4,0,1238.78,74.31,19.73
18,100,3,0.5,1,2.0,1.5,12,16,16,16,1482.65,70.99,20.73
17,100,1,0.5,4,2.0,1.5,11,12,16,16,1026.59,46.26,21.19
16,120,2,0.5,1,2.5,1.5,11,11,2,2,786.42,36.62,20.25
24,120,2,0.5,1,2.5,1.5,10,10,8,16,1768.79,71.2,19.78
15,130,2,0.5,1,2.0,1.5,12,15,4,16,1236.59,125.71,20.08
22,100,3,0.5,1,2.0,1.5,11,11,16,16,1657.51,61.78,19.79
21,120,2,0.5,1,2.0,1.5,10,10,16,16,1604.87,63.25,20.07
18,100,3,0.5,1,2.0,1.5,12,16,12,4,1210.33,44.26,20.52
25,150,2,0.5,1,2.0,1.5,10,10,16,16,2165.7,35.8,20.17
22,100,1,0.5,1,2.5,1.5,10,11,0,16,1388.71,98.74,18.85
23,140,1,0.5,1,2.5,1.5,15,17,4,0,1573.14,53.99,17.43
17,120,2,0.5,1,2.0,1.5,11,12,16,16,1394.14,77.75,20.9
16,150,2,0.5,1,2.0,1.5,12,16,16,16,1525.91,95.02,20.69
22,150,1,0.5,1,2.0,1.5,15,15,12,12,2072.63,44.05,19.08
23,100,2,0.5,2,2.5,1.5,10,10,16,16,1602.51,54.5,20.28
22,100,2,0.5,2,2.0,1.5,10,10,8,16,1498.42,68.94,20.09
16,120,1,0.5,1,2.0,1.5,10,10,10,10,1006.96,109.73,19.75
24,130,1,0.5,1,2.0,1.5,12,12,2,2,1617.28,67.33,19.94
21,110,2,0.5,1,2.0,1.5,11,11,16,16,1625.5,61.91,19.9
16,130,2,0.5,3,2.5,1.5,11,11,16,16,1106.53,50.66,19.88
24,120,2,0.5,1,2.5,1.5,11,11,0,16,1710.49,77.85,18.18
23,130,3,0.5,1,2.5,1.5,10,10,16,16,1818.87,61.57,20.2
16,140,4,0.5,1,2.0,1.5,14,17,6,0,1238.27,40.98,18.78
25,140,2,0.5,1,2.0,1.5,10,13,14,8,1894.2,53.97,19.58
15,110,1,0.5,2,2.5,1.5,10,16,12,12,879.26,124.4,21.08
22,140,2,0.5,2,2.5,1.5,10,10,8,8,1569.46,70.25,20.14
23,100,2,0.5,1,2.0,1.5,11,11,16,16,1745.66,56.66,20.37
24,100,1,0.5,2,2.5,1.5,12,13,8,8,1515.82,55.66,19.86
24,100,2,0.5,1,2.0,1.5,10,11,16,16,1812.41,53.95,19.85
15,130,3,0.5,1,2.5,1.5,12,17,16,16,1339.43,93.82,20.63
21,120,3,0.5,1,2.5,1.5,13,13,16,16,1793.61,70.38,20.11
19,150,3,0.5,1,2.0,1.5,11,11,0,0,1433.0,63.54,19.83
22,100,3,0.5,1,2.0,1.5,12,16,12,4,1453.97,48.44,20.52
20,140,3,0.5,1,2.5,1.5,10,10,16,16,1558.32,71.38,20.19
20,120,3,0.5,1,2.0,1.5,10,16,4,0,1281.83,69.68,20.98
24,120,2,0.5,1,2.0,1.5,10,10,4,16,1721.95,75.02,19.18
22,100,3,0.5,1,2.0,1.5,12,16,16,8,1579.55,44.31,20.51
23,100,3,0.5,1,2.5,1.5,10,11,0,16,1475.0,94.81,18.86
19,100,1,0.5,3,2.0,1.5,11,12,10,8,1208.19,22.81,20.71
22,100,2,0.5,2,2.0,1.5,10,10,8,8,1564.31,61.79,20.12
21,120,3,0.5,1,2.5,1.5,11,11,0,16,1413.24,103.75,18.29
15,100,2,0.5,1,2.5,1.5,10,16,12,12,932.15,128.26,20.87
