V,E
203.5976456266247,187.97665511904478
193.67376571020395,179.11369155907417
183.75787573997061,170.33042302643764
173.86069681961374,161.62752065860647
163.97991132060162,153.06191442339696
154.1166348300204,144.43591437991148
144.2903400127054,135.77962929859788
134.4931691035429,127.08214759572952
124.67530882151397,118.33348493996871
114.8676987358974,109.54596099583196
105.03994877046108,100.75161835749584
95.21185960725664,91.97088242805188
85.41986102497708,83.20317499593412
75.64473884520416,74.43201573909036
65.8579345098748,65.64000258861012
56.05917247471088,56.85342025206292
46.2628778630456,48.1113942457882
36.46347404693357,39.38193641233717
26.65736998022523,30.665267236410216
16.83424080725506,21.964989028769452
6.98293989027384,13.277433307060708
-2.8965410169547785,4.597037901966816
-12.787221726494264,-4.077706094735064
-22.674155972538106,-12.751203596971823
-32.54781662708016,-21.419270675796536
-42.40605650717404,-30.090090274189407
-52.246534382334524,-38.7439022730692
-62.05540595964412,-47.43440494661088
-71.8384305278692,-56.17473547474868
-81.59991216658231,-64.93734600130684
-91.39986067528085,-73.72858037620749
-101.21046903612287,-82.5270098062806
-111.02518911149144,-91.29530282891288
-120.87759935548392,-100.02211056523952
-130.76394803341188,-108.79378993345836
-140.66607108951513,-117.58756452942825
-150.57416575340292,-126.37213288550231
-160.48014158714707,-135.12498516649973
-170.35904242774563,-143.87965923231496
-180.22803202174623,-152.62819455035014
-190.13680202278132,-161.40169568221953
-200.04937307078248,-170.190605836055
-209.9635724405064,-179.00381385673504
-219.88768197640192,-187.82286203811623
-229.7980809711921,-196.68713153871573
-239.7135843057829,-205.5992201595046
-249.66089405303148,-214.54328669933852
-259.6960096514689,-223.52979914622844
-269.7923165175559,-232.62468806602843
-279.94351663268907,-241.831800144324
-290.1805119246927,-251.1201883967192
-300.48562393012037,-260.55048960039323
-310.87819193134413,-270.10662438623757
-321.384198308897,-279.81585268723916
-332.03078040137416,-289.668172962558
-342.81625708836003,-299.6603960201895
-353.77971487025405,-309.789025738363
-364.9536566009453,-320.0761813945357
-376.34531932185644,-330.52122560695216
-387.99923199150464,-341.2664003644955
-399.95777363640764,-352.3403870477359
-412.255811695558,-363.7416825538492
-424.9303566419748,-375.49901401151675
-438.0222593176084,-387.64603672334835
-451.5802428373072,-400.3685990694144
-465.6465821027796,-413.68492553768635
-480.25275357719363,-427.593456622352
-495.5256930238504,-442.23987105828996
-511.75178071386716,-457.84401121931563
-528.7241192891264,-474.17979105593963
-546.2583156805184,-491.1873492576156
-564.386951602258,-508.98340664069764
-583.2096569169848,-527.6582468241712
-602.8093624902016,-547.2327588217952
-623.1897849283324,-567.686275062922
-644.3370463533956,-589.0179753986364
-666.2809253698804,-611.3285430877336
-689.075829635082,-634.7003443126507
-712.747586114088,-659.0967316107816
-737.3313886357791,-684.4244045115933
-762.7754072671956,-710.4317436567115
-788.9627371956052,-736.973657355946
-815.9777929496744,-764.218807093676
-844.0055783596399,-792.482048845116
-873.1009480558056,-821.7776369718096
-903.0730882897279,-851.86735448811
-933.6872662501437,-882.546809128112
-964.7900942966949,-913.6811672138027
-995.9954157792796,-945.0362241434528
-1027.3121613703734,-976.376818698364
-1058.5616934351824,-1007.4006434708372
-1089.3271851674674,-1037.5140465696713
-1119.1244235283693,-1066.2346356273106
-1147.2334165633629,-1092.86603394002
-1172.654295248578,-1117.0281152717043
-1195.210419672962,-1138.6870089582944
-1215.4068644546244,-1158.0562183844117
-1233.5207684347445,-1175.372218836448
-1249.9261950018804,-1191.2622061920652
-1264.763006687713,-1205.5578222051938
-1278.1096576648636,-1218.4665105135557
-1290.2709268250735,-1230.0193577449422
-1301.0956211413268,-1240.2289268885181
-1310.5554960109025,-1249.464909161765
-1318.7987593600576,-1257.67509683439
-1325.9789380591965,-1264.9536640856963
-1332.226061534368,-1271.3116046726407
-1337.6666282682631,-1276.7333325693276
-1342.317046950387,-1281.2892546693324
-1346.1244729698587,-1284.9692025966215
-1349.0591554588275,-1287.7569961005572
-1351.152674382769,-1289.7092738660472
-1352.5567441445216,-1290.9128538516197
-1353.2631642972149,-1291.3677480817844
-1353.174265754018,-1291.2469755354543
-1352.3917958232907,-1290.587381798412
-1351.1166084830998,-1289.4311822903678
-1349.439765791122,-1287.786008526088
-1347.3578833167703,-1285.7095144311984
-1344.8396354409344,-1283.2198481761093
-1341.953742020345,-1280.35113766561
-1338.653417763588,-1277.1564340341613
-1335.0375522799206,-1273.6937443743823
-1331.1487396716354,-1269.985654918152
-1327.0065339571868,-1266.038592316148
-1322.592132018826,-1261.873255556312
-1317.927836449986,-1257.4967467645856
-1313.0422660808124,-1252.9298382001139
-1307.925668340356,-1248.1617436265028
-1302.6213460416411,-1243.20065516013
-1297.158766294898,-1238.068513709535
-1291.5243992155956,-1232.766883440409
-1285.7142139941832,-1227.3031416660524
-1279.7334184712968,-1221.6905725305085
-1273.6084487793803,-1215.9422589053095
-1267.35497459512,-1210.0572041997268
-1260.9629206444215,-1204.032804518267
-1254.4223586424716,-1197.8664164127483
-1247.748029085857,-1191.595810336589
-1240.9413500329401,-1185.2154317143354
-1233.9969663045097,-1178.6633132939644
-1226.9083585749122,-1171.9138113090273
-1219.683414769173,-1164.9659516320244
-1212.3247476614324,-1157.8294136349496
-1204.8352039076644,-1150.5486051397734
-1197.2098243968896,-1143.134473540797
-1189.4482286331047,-1135.575009365397
-1181.5667864292964,-1127.8884254831087
-1173.5467569527,-1120.061531022989
-1165.3685390815644,-1112.1001703405652
-1157.0101081730897,-1103.9986628271233
-1148.478042180144,-1095.7637202945357
-1139.7819490135075,-1087.406707652155
-1130.924429799574,-1078.9287053807911
-1121.9050640271628,-1070.3400724655328
-1112.7208282040228,-1061.5855665872464
-1103.3674650170544,-1052.6636423583245
-1093.8305662462308,-1043.575540087982
-1084.1431090210133,-1034.304894639365
-1074.3162976313686,-1024.8475154800042
-1064.3398278333689,-1015.2320514408109
-1054.2137969380187,-1005.4695710779364
-1043.9019098486394,-995.5421681378016
-1033.3695173748831,-985.4060799497391
-1022.5615451466567,-975.0445510220628
-1011.4562154599265,-964.4395222719384
-1000.0448029186455,-953.5543837045913
-988.2961575756219,-942.3677791654441
-976.1924350180964,-930.8593959713876
-963.7127438767919,-919.0129754186191
-950.8112012747329,-906.7629235181523
-937.4850441196045,-894.0342088324495
-923.6768492120409,-880.783605112928
-909.3561705775968,-867.0122906069491
-894.4574231014284,-852.6805615034632
-878.8951183456139,-837.6834805701532
-862.5655240686216,-821.9989473630565
-845.3780005349868,-805.4776675125344
-827.2247244484971,-788.0702491244784
-807.9953578253987,-769.6080792006916
-787.5253846364656,-749.954562628006
-765.6445622310945,-728.946686248894
-742.2906323114864,-706.5861716930332
-717.0848110230912,-682.4849738625128
-689.5896732709228,-656.0757346367104
-660.4476131789788,-628.0425996444116
-629.7821436635664,-598.5477070347421
-597.5962369456016,-567.536775853952
-563.8458568204763,-534.9197755900908
-528.4181865414672,-500.6444989389376
-491.2762163266368,-464.6742199292428
-452.4867764306676,-426.9960477321648
-412.1452568575592,-387.7193469633174
-370.3935016907459,-346.94536679377336
-327.6167278220877,-304.97972022832886
-284.4573169075116,-262.4703532505199
-240.84446801576945,-219.46107273066005
-196.58382912553748,-175.696159594583
-152.03288443069422,-131.45427361451374
-107.58682498347224,-87.27979041399668
-63.222929375068,-43.18055584296796
-18.906708892364616,0.9290843517711228
