index, torque
132,-0.0009990445698676229
133,-0.0015230826831049385
134,-0.001731883744558657
135,-0.002373947796114108
136,-0.002831774879534323
137,-0.002415115036459642
138,-0.0025989683084073237
139,-0.0021622097367711528
140,-0.0010267143628210475
141,-0.000692607227702679
142,1.573662756292277e-05
143,0.0009058171620797565
144,0.0013436343350772268
145,0.0017591881059105352
146,0.0020319784340610604
147,0.0021737552791367396
148,0.0014418936008724463
149,0.0008461433591303762
150,0.00040400451390041757
151,-0.00046702297469946707
152,-0.0010630641464228693
153,-0.0018598690408945565
154,-0.002444937697610102
155,-0.0029048951559355095
156,-0.0029884914551068496
157,-0.0030593516342298822
158,-0.002977350732279692
159,-0.0025519887881003227
160,-0.0022087658404044107
161,-0.001667556927772818
162,-0.0008562370886542716
163,-0.0005204313613650017
164,-5.376478408838014e-05
165,0.0005345126051254391
166,0.00051202576835988
167,0.0005725246678322984
168,0.0006111342658943367
169,0.0002482295250322815
170,0.00014093540786741976
171,0.0003243768771563837
172,-0.00044507110420849904
173,-0.0004984085731988474
174,-0.0007962605666498863
175,-0.0013546271212600946
176,-0.0010150082735908674
177,-0.0015744040600661636
178,-0.0019638145169721673
179,-0.002091239680456945
180,-0.001934179586530106
181,-0.0019906342710624613
182,-0.0016056037697856893
183,-0.001460088118291996
184,-0.0018740873520337832
185,-0.0011211015063233116
186,-0.0010231306163323698
187,-0.001286924717091944
188,-0.0008154838434918862
189,-0.0009393080302805886
190,-0.0009881473120646519
191,-0.0003512517233085631
192,-0.000579371298334375
193,-0.0005892560713213701
194,-0.00040215607630575195
195,-0.0007000713471803184
196,-0.00047725191769414565
197,-0.0003113228214522666
198,-0.0006352840919153584
199,-0.0005072607623994203
200,-0.0003257528660754738
201,-0.00044451043596923636
202,0.0002109664950391834
203,0.00028967789421559514
204,3.062372897203597e-05
205,0.0007623039668670768
206,0.0009142185756061292
207,0.0009201175230417462
208,0.001492250777173929
209,0.0014776183061504247
210,0.0013187200782670276
211,0.0017664310619678793
212,0.0020467512258457634
213,0.0014329305386424015
214,0.0012667189692487496
215,0.001183866486705288
