Torque,MaxAngle
-590.1752721634837,295
-628.5501553868053,296
-669.5459430005783,297
-714.0610885593544,298
-762.3935051860849,299
-815.1575208222089,300
-872.8774099091792,301
-934.5851783259233,302
-998.770279285616,303
-1064.4816470067824,304
-1129.3307279644612,305
-1190.543667078924,306
-1245.4581965477955,307
-1290.2229208445394,308
-1326.0710977060799,309
-1355.5743479540677,310
-1379.9225643336229,311
-1399.6602356294497,312
-1415.217837712494,313
-1427.2692016005387,314
-1436.5882042982596,315
-1443.4026078022016,316
-1447.525265686225,317
-1449.3133241424375,318
-1449.150512382951,319
-1447.0909924964317,320
-1443.375840206788,321
-1438.6571834712365,322
-1432.9687574118084,323
-1426.2495872203292,324
-1418.436907409525,325
-1409.697008786812,326
-1400.2438828491743,327
-1390.043161301968,328
-1379.0527287060715,329
-1367.2830510899676,330
-1354.7489889063916,331
-1341.435751881452,332
-1327.347018687305,333
-1312.5245522908197,334
-1296.9481419791068,335
-1280.5279353386516,336
-1263.233085270453,337
-1244.9665459851146,338
-1225.6100356821898,339
-1204.9714744800085,340
-1182.8439312466992,341
-1159.0469980185817,342
-1133.3274043534386,343
-1105.4272764459715,344
-1075.0037964674293,345
-1041.3630896555717,346
-1003.7799191262993,347
-961.2354407557544,348
-912.74061185735,349
-856.5720871154135,350
-793.7013247535624,351
-724.5011731576064,352
-648.6832571051648,353
-566.3845311743884,354
-478.1628071690936,355
-384.7505124718549,356
-288.0552003566573,357
-187.65942162608292,358
-85.39121448915415,359
17.678822742107364,360
