X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
24.82,131.8,2.13,0.01,1.54,2.31,1.5,11.26,16.34,6.83,1.83,20.18
18.3,134.9,1.81,0.01,3.0,2.15,1.5,12.72,13.9,11.79,10.79,19.27
16.84,129.3,3.69,0.01,1.41,2.46,1.5,11.39,14.87,6.65,3.65,19.48
15.14,120.8,3.82,0.01,1.58,2.39,1.5,10.87,12.74,2.31,3.31,19.97
21.99,134.4,1.76,0.01,2.38,2.12,1.5,12.12,12.98,0.92,0.92,20.66
21.32,135.4,2.84,0.01,1.41,2.08,1.5,10.75,14.11,5.94,2.94,19.81
19.63,121.4,2.49,0.01,1.48,2.17,1.5,11.31,16.76,11.62,6.62,20.5
21.07,107.3,2.53,0.01,1.83,2.43,1.5,13.36,15.07,2.0,3.0,19.66
24.87,147.4,2.66,0.01,1.0,2.32,1.5,12.83,13.75,4.38,4.38,20.79
16.08,131.2,1.14,0.01,1.85,2.03,1.5,13.52,15.35,4.01,3.01,19.73
22.47,117.0,3.08,0.01,1.0,2.26,1.5,10.14,15.15,5.61,3.67,20.64
19.34,119.1,2.41,0.01,2.21,2.18,1.5,13.87,14.42,5.68,5.68,19.39
16.97,129.3,3.74,0.01,1.35,2.48,1.5,11.39,14.87,6.65,6.66,20.58
20.45,147.5,3.43,0.01,1.0,2.21,1.5,10.87,16.48,2.16,2.16,19.66
21.32,135.4,2.84,0.01,1.29,2.08,1.5,10.75,15.58,5.95,2.96,20.43
15.79,106.6,3.38,0.01,1.74,2.16,1.5,13.46,17.12,4.36,1.36,18.98
24.48,111.1,1.76,0.01,1.24,2.22,1.5,12.15,15.11,5.41,3.41,19.79
22.47,117.1,2.87,0.01,1.21,2.3,1.5,10.14,15.15,7.18,3.67,19.61
19.92,136.5,2.41,0.01,2.09,2.07,1.5,10.05,16.29,5.12,6.79,19.31
24.13,113.2,1.27,0.01,2.54,2.38,1.5,14.29,17.52,0.18,1.3,17.36
22.7,106.7,1.15,0.01,2.56,2.18,1.5,14.01,15.39,5.91,4.91,20.07
22.23,108.8,3.16,0.01,1.0,2.43,1.5,12.79,13.23,7.54,7.54,20.45
15.34,139.4,1.57,0.01,2.58,2.0,1.5,10.55,14.42,3.47,1.29,19.85
20.34,117.6,2.76,0.01,1.0,2.22,1.5,12.56,13.46,0.5,0.5,20.31
22.37,135.8,2.93,0.01,1.14,2.11,1.5,13.0,15.57,6.91,4.91,19.94
18.3,133.9,2.19,0.01,1.45,2.16,1.5,12.72,15.99,11.62,8.71,18.66
