X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,AVG,RIP,COG
15.82,139.8,1.36,0.04,1.26,2.32,1.82,15.0,17.95,9.24,-304.79,57.33,14.47
15.54,139.70000000000002,1.71,0.12,2.49,2.28,1.78,15.0,17.99,9.4,-299.13,55.57,14.08
23.51,120.8,1.6,0.01,1.22,2.08,1.58,15.0,17.97,1.52,-268.43,48.1,13.48
23.49,132.7,1.4,0.01,1.95,2.04,1.53,15.0,18.0,1.51,-265.41,47.86,13.44
15.9,131.8,1.81,0.01,3.03,2.01,1.5,15.0,18.0,0.44,-254.05,49.69,13.09
23.51,133.8,1.62,0.06,1.93,2.01,1.51,15.0,18.0,0.42,-254.17,44.54,13.31
23.79,132.0,1.63,0.01,1.4,2.27,1.77,15.0,17.67,1.54,-274.51,44.36,14.34
16.74,136.2,2.09,0.0,3.03,2.0,1.5,15.0,18.0,0.44,-253.86,49.06,13.1
24.42,126.6,1.62,0.06,1.76,2.02,1.51,15.0,17.99,0.59,-258.06,44.02,13.35
15.59,140.0,1.6,0.01,2.94,2.02,1.52,15.0,17.97,9.44,-290.74,51.64,13.48
23.77,139.8,1.9,0.0,1.76,2.18,1.68,15.0,17.98,1.25,-270.1,42.94,13.95
24.42,133.8,1.62,0.06,1.93,2.02,1.51,15.0,18.0,0.42,-251.98,44.0,13.23
15.82,139.8,1.66,0.04,1.51,2.33,1.83,15.0,17.95,9.23,-304.12,57.18,14.35
15.85,139.5,2.09,0.0,1.25,2.01,1.51,15.0,17.98,9.17,-298.63,56.98,13.67
16.99,136.2,2.02,0.0,3.05,2.0,1.5,15.0,18.0,0.44,-254.02,49.19,13.04
24.6,133.4,1.62,0.06,1.93,2.02,1.51,15.0,18.0,0.4,-254.79,45.02,13.23
23.79,137.6,1.68,0.0,2.12,2.01,1.51,15.0,17.98,1.23,-266.22,42.06,13.46
