X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
23.71,115.2,0.94,0.76,2.6,2.41,1.79,11.17,15.95,5.51,3.34,21.41
24.22,116.2,1.5,0.51,1.39,2.22,1.72,10.31,16.68,6.07,1.82,21.79
22.7,86.9,1.63,0.63,1.92,2.15,1.65,11.93,16.84,6.59,3.46,20.6
18.57,127.3,1.56,0.65,2.93,2.35,1.79,12.47,17.06,6.53,3.91,21.14
23.74,122.2,0.97,0.87,2.23,2.28,1.77,11.1,17.35,2.55,1.84,20.95
24.58,133.9,0.5,0.4,3.15,2.12,1.59,10.27,14.91,5.45,1.8,19.59
23.42,85.3,3.17,0.92,0.5,2.2,1.7,14.33,17.45,5.18,2.06,19.1
23.84,114.8,1.37,0.71,1.62,2.15,1.56,10.93,14.9,6.97,4.26,20.57
24.46,85.8,2.99,0.99,0.5,2.19,1.69,14.38,17.32,4.07,1.22,19.66
24.14,96.0,1.15,0.58,1.16,2.52,1.99,12.23,16.1,5.89,2.76,20.82
24.17,116.4,0.94,0.69,2.52,2.28,1.78,12.83,17.01,6.0,1.82,19.78
24.14,86.1,0.97,0.43,2.61,2.3,1.51,11.1,17.35,7.06,1.51,20.07
20.79,112.3,1.5,0.54,2.16,2.2,1.7,10.94,17.27,7.19,4.94,21.3
19.72,116.3,0.5,0.17,3.61,2.06,1.53,12.33,16.28,4.3,4.79,20.56
17.88,123.8,1.36,0.45,2.61,2.32,1.51,12.58,17.4,6.37,1.55,19.85
15.84,133.1,3.36,0.4,1.68,2.2,1.7,14.26,17.89,1.29,4.92,18.58
20.08,114.8,0.95,0.43,2.6,2.18,1.56,10.13,14.89,5.1,4.4,19.43
23.74,115.8,1.23,0.38,2.05,2.18,1.56,11.29,12.47,3.92,5.11,19.99
24.37,91.4,1.03,0.4,2.21,2.08,1.58,10.85,15.04,6.1,3.59,20.59
22.07,120.9,2.21,0.67,1.92,2.53,1.75,12.46,17.06,6.57,3.86,20.97
22.21,92.3,1.73,0.39,1.94,2.04,1.54,12.49,13.32,0.58,1.41,20.17
21.46,134.6,2.02,0.99,1.67,2.18,1.68,10.39,16.83,8.14,4.71,21.41
21.59,86.3,3.49,0.78,0.5,2.02,1.52,10.05,16.63,5.06,4.78,19.2
23.33,116.2,3.36,0.97,0.5,2.2,1.7,14.38,17.53,5.21,2.06,19.13
19.97,119.5,1.44,0.69,2.47,2.38,1.77,12.38,12.74,1.3,1.66,20.17
23.84,92.9,1.37,0.71,1.45,2.13,1.63,12.01,15.0,6.96,4.01,19.87
24.54,88.8,1.27,0.41,2.06,2.41,1.76,10.21,11.43,4.36,5.58,21.46
23.72,84.3,1.46,0.15,2.06,2.22,1.68,11.08,16.56,7.76,2.73,20.34
22.02,129.8,0.5,0.33,3.63,2.08,1.55,10.64,14.7,8.38,4.66,20.39
22.86,102.6,2.62,0.04,1.06,2.51,1.89,10.14,17.13,5.95,3.02,21.9
21.92,116.3,0.5,0.33,3.63,2.24,1.72,10.98,16.36,7.47,2.42,20.21
23.58,122.2,1.0,0.75,2.55,2.41,1.51,12.2,12.95,3.75,4.5,20.04
23.71,115.6,0.95,0.76,2.6,2.18,1.56,11.35,13.57,5.51,5.72,20.82
24.47,89.8,1.0,1.0,1.08,2.1,1.59,10.25,14.91,6.48,3.62,21.2
22.04,129.8,0.5,0.33,3.63,2.31,1.77,10.77,16.3,8.47,4.66,21.21
21.93,134.6,1.32,0.91,1.74,2.5,1.67,10.97,15.06,8.32,6.0,20.32
23.33,84.7,3.16,0.99,0.5,2.18,1.68,10.38,17.6,5.59,2.06,21.08
23.93,127.8,3.26,0.36,0.53,2.72,1.97,10.67,11.96,6.17,6.71,21.59
18.87,127.3,2.54,0.91,2.19,2.3,1.56,10.21,13.53,4.95,1.63,19.85
19.97,119.5,1.79,0.68,2.47,2.38,1.77,12.38,13.23,1.3,0.98,20.62
22.07,120.5,1.29,0.67,1.95,2.54,1.76,12.46,17.06,6.1,2.87,21.27
18.57,121.6,1.97,0.91,2.19,2.3,1.78,10.14,11.73,0.91,2.5,20.58
22.53,95.8,1.19,0.93,1.92,2.23,1.72,10.88,15.91,6.57,1.54,21.19
21.45,130.9,0.53,0.78,3.71,2.1,1.53,11.59,14.68,8.39,6.78,19.59
23.75,97.2,1.45,0.15,2.1,2.03,1.51,11.08,15.0,7.13,4.25,20.67
23.72,92.2,0.95,0.38,2.63,2.14,1.64,12.02,14.99,5.07,4.01,20.22
16.78,117.9,1.95,0.18,2.62,2.05,1.55,10.18,14.57,5.59,2.6,20.23
22.71,85.5,0.5,0.63,3.12,2.13,1.63,11.58,16.84,6.18,3.45,20.4
24.54,105.4,1.09,0.43,2.05,2.52,1.76,10.21,11.32,3.86,2.75,21.29
20.85,119.3,1.79,0.5,1.22,2.31,1.71,12.37,12.7,0.62,0.96,20.9
23.75,122.0,1.47,0.15,2.06,2.22,1.68,11.67,15.0,7.43,4.09,20.64
23.13,97.8,1.64,0.66,1.93,2.4,1.88,10.47,10.93,7.27,7.39,20.68
22.05,134.5,2.11,0.51,2.02,2.2,1.7,11.91,16.66,7.23,2.48,20.44
22.07,120.9,1.02,0.67,1.92,2.32,1.76,12.46,17.06,8.46,3.87,20.45
24.88,97.6,2.99,0.43,0.5,2.01,1.51,10.12,16.59,5.41,1.5,20.2
24.21,91.8,0.64,0.5,1.07,2.44,1.94,11.56,11.58,4.77,4.79,20.01
22.08,98.8,1.17,0.67,1.92,2.26,1.72,12.47,17.06,8.45,3.86,20.58
24.54,101.3,0.96,0.43,2.06,2.38,1.76,10.21,13.75,7.2,4.71,20.44
23.8,85.6,2.08,0.66,1.42,2.2,1.7,11.12,17.62,8.07,1.57,19.85
23.71,85.8,2.99,0.99,0.5,2.2,1.7,14.38,17.32,4.16,1.22,19.76
24.14,86.1,2.68,0.46,0.65,2.3,1.51,10.14,17.33,7.06,1.51,19.72
23.71,115.6,0.95,0.76,2.62,2.18,1.56,11.24,13.57,5.51,5.72,20.64
18.29,134.5,0.57,0.5,1.27,2.26,1.54,11.64,16.29,5.69,2.16,20.58
18.65,116.3,0.52,0.17,3.59,2.27,1.77,12.33,16.28,4.3,1.22,21.43
24.13,105.6,2.2,0.58,1.15,2.77,2.0,12.23,15.71,6.64,3.16,20.96
23.99,105.6,1.45,0.15,1.15,2.52,1.99,12.38,16.09,6.48,2.76,20.78
22.95,90.6,1.17,0.63,1.88,2.22,1.72,12.47,17.06,7.58,2.99,20.31
24.22,120.4,1.52,0.48,1.94,2.24,1.74,10.21,11.32,2.99,1.88,20.27
24.82,123.8,0.74,0.45,2.64,2.34,1.52,10.21,17.42,7.21,0.76,19.69
23.79,110.5,2.01,0.43,1.35,2.32,1.64,12.66,16.12,4.99,1.53,20.6
23.89,111.9,1.33,0.91,2.19,2.5,1.79,10.08,15.95,6.68,3.16,21.16
24.83,123.6,3.04,0.43,0.53,2.41,1.51,11.1,16.61,7.02,1.51,20.53
23.74,114.8,1.32,0.38,1.1,2.18,1.56,11.29,16.26,5.51,2.96,20.8
21.86,115.9,0.5,0.33,3.63,2.22,1.71,10.97,16.35,7.47,2.42,20.11
23.91,116.4,1.35,0.71,1.62,2.16,1.57,10.93,17.06,6.97,2.02,20.51
