
 Nodal results 
Node x:0.0, y:0.0, Vector potential = 0
Node x:1.0, y:5.0, Muy = 1
Node x:1.0, y:5.0, Pe = 0
Node x:1.0, y:5.0, Ph = 0

 Nodal results 
Node x:1.5, y:0.0, Vector potential = 1.114717740966649e-006
Node x:1.5, y:0.0, Bx = 3.081359756447062e-005
Node x:1.5, y:0.0, By = 0.001608478188532684
Node x:1.5, y:0.0, Sigma = 0
Node x:1.5, y:0.0, E = 1.029792785922952
Node x:1.5, y:0.0, Hx = 24.52068183414943
Node x:1.5, y:0.0, Hy = 1279.986272802371
Node x:1.5, y:0.0, Je = 0
Node x:1.5, y:0.0, Js = 0
Node x:1.5, y:0.0, Mux = 1
Node x:1.5, y:0.0, Muy = 1
Node x:1.5, y:0.0, Pe = 0
Node x:1.5, y:0.0, Ph = 0

 Nodal results 
Node x:1.5, y:0.5, Vector potential = 1.08326012242565e-006
Node x:1.5, y:0.5, Bx = 8.62723487785829e-005
Node x:1.5, y:0.5, By = 0.001565922177680193
Node x:1.5, y:0.5, Sigma = 0
Node x:1.5, y:0.5, E = 0.9786259136365116
Node x:1.5, y:0.5, Hx = 68.65335380129754
Node x:1.5, y:0.5, Hy = 1246.12127537514
Node x:1.5, y:0.5, Je = 0
Node x:1.5, y:0.5, Js = 0
Node x:1.5, y:0.5, Mux = 1
Node x:1.5, y:0.5, Muy = 1
Node x:1.5, y:0.5, Pe = 0
Node x:1.5, y:0.5, Ph = 0

 Nodal results 
Node x:1.5, y:1.0, Vector potential = 1.034869151729543e-006
Node x:1.5, y:1.0, Bx = 0.0001258974183791714
Node x:1.5, y:1.0, By = 0.001493167106512857
Node x:1.5, y:1.0, Sigma = 0
Node x:1.5, y:1.0, E = 0.8934155440874775
Node x:1.5, y:1.0, Hx = 100.1859822877678
Node x:1.5, y:1.0, Hy = 1188.224629318719
Node x:1.5, y:1.0, Je = 0
Node x:1.5, y:1.0, Js = 0
Node x:1.5, y:1.0, Mux = 1
Node x:1.5, y:1.0, Muy = 1
Node x:1.5, y:1.0, Pe = 0
Node x:1.5, y:1.0, Ph = 0

 Nodal results 
Node x:1.5, y:1.5, Vector potential = 9.688263994179871e-007
Node x:1.5, y:1.5, Bx = 0.000153370880850741
Node x:1.5, y:1.5, By = 0.001394299243463277
Node x:1.5, y:1.5, Sigma = 0
Node x:1.5, y:1.5, E = 0.7828803828079428
Node x:1.5, y:1.5, Hx = 122.0486690687677
Node x:1.5, y:1.5, Hy = 1109.548083732353
Node x:1.5, y:1.5, Je = 0
Node x:1.5, y:1.5, Js = 0
Node x:1.5, y:1.5, Mux = 1
Node x:1.5, y:1.5, Muy = 1
Node x:1.5, y:1.5, Pe = 0
Node x:1.5, y:1.5, Ph = 0

 Nodal results 
Node x:1.5, y:2.0, Vector potential = 8.839123448130259e-007
Node x:1.5, y:2.0, Bx = 0.0001930368394802174
Node x:1.5, y:2.0, By = 0.001273095689789384
Node x:1.5, y:2.0, Sigma = 0
Node x:1.5, y:2.0, E = 0.6597115060661338
Node x:1.5, y:2.0, Hx = 153.6138360105667
Node x:1.5, y:2.0, Hy = 1013.097360294834
Node x:1.5, y:2.0, Je = 0
Node x:1.5, y:2.0, Js = 0
Node x:1.5, y:2.0, Mux = 1
Node x:1.5, y:2.0, Muy = 1
Node x:1.5, y:2.0, Pe = 0
Node x:1.5, y:2.0, Ph = 0

 Nodal results 
