
 Nodal results 
Node x:0.0, y:-6.0, Vector potential = 0
Node x:3.3964268742691583, y:-0.5, Bx = -2.46050851487738e-005
Node x:3.3964268742691583, y:-0.5, By = 0.00187906557361515
Node x:3.3964268742691583, y:-0.5, Sigma = 0
Node x:3.3964268742691583, y:-0.5, E = 1.405136355013074
Node x:3.3964268742691583, y:-0.5, Hx = -19.58010463312167
Node x:3.3964268742691583, y:-0.5, Hy = 1495.312872173294
Node x:3.3964268742691583, y:-0.5, Je = 0
Node x:3.3964268742691583, y:-0.5, Js = 0
Node x:3.3964268742691583, y:-0.5, Mux = 1
Node x:3.3964268742691583, y:-0.5, Muy = 1
Node x:3.3964268742691583, y:-0.5, Pe = 0
Node x:3.3964268742691583, y:-0.5, Ph = 0

 Nodal results 
Node x:3.9387215208816464, y:-2.5, Vector potential = 6.824093451603754e-006
Node x:3.9387215208816464, y:-2.5, Bx = -0.0006878134832895346
Node x:3.9387215208816464, y:-2.5, By = 0.001832672001049843
Node x:3.9387215208816464, y:-2.5, Sigma = 0
Node x:3.9387215208816464, y:-2.5, E = 1.524614452660054
Node x:3.9387215208816464, y:-2.5, Hx = -547.3445789539209
Node x:3.9387215208816464, y:-2.5, Hy = 1458.394040165989
Node x:3.9387215208816464, y:-2.5, Je = 0
Node x:3.9387215208816464, y:-2.5, Js = 0
Node x:3.9387215208816464, y:-2.5, Mux = 1
Node x:3.9387215208816464, y:-2.5, Muy = 1
Node x:3.9387215208816464, y:-2.5, Pe = 0
Node x:3.9387215208816464, y:-2.5, Ph = 0

 Nodal results 
Node x:4.017527386859641, y:-1.3294865888306855, Vector potential = 8.510557280238167e-006
Node x:4.017527386859641, y:-1.3294865888306855, Bx = -0.0001901847401151692
Node x:4.017527386859641, y:-1.3294865888306855, By = 0.002003117046541898
Node x:4.017527386859641, y:-1.3294865888306855, Sigma = 0
Node x:4.017527386859641, y:-1.3294865888306855, E = 1.610905909815024
Node x:4.017527386859641, y:-1.3294865888306855, Hx = -151.3442074498833
Node x:4.017527386859641, y:-1.3294865888306855, Hy = 1594.029897743906
Node x:4.017527386859641, y:-1.3294865888306855, Je = 0
Node x:4.017527386859641, y:-1.3294865888306855, Js = 0
Node x:4.017527386859641, y:-1.3294865888306855, Mux = 1
Node x:4.017527386859641, y:-1.3294865888306855, Muy = 1
Node x:4.017527386859641, y:-1.3294865888306855, Pe = 0
Node x:4.017527386859641, y:-1.3294865888306855, Ph = 0

 Nodal results 
Node x:5.052435197556462, y:-5.050277091586038, Vector potential = 2.953298393267755e-006
Node x:5.052435197556462, y:-5.050277091586038, Bx = -0.001024042632502855
Node x:5.052435197556462, y:-5.050277091586038, By = 0.0002709085386556982
Node x:5.052435197556462, y:-5.050277091586038, Sigma = 0
Node x:5.052435197556462, y:-5.050277091586038, E = 0.4464513995066358
Node x:5.052435197556462, y:-5.050277091586038, Hx = -814.9072344983329
Node x:5.052435197556462, y:-5.050277091586038, Hy = 215.5821652642808
Node x:5.052435197556462, y:-5.050277091586038, Je = 0
Node x:5.052435197556462, y:-5.050277091586038, Js = 0
Node x:5.052435197556462, y:-5.050277091586038, Mux = 1
Node x:5.052435197556462, y:-5.050277091586038, Muy = 1
Node x:5.052435197556462, y:-5.050277091586038, Pe = 0
Node x:5.052435197556462, y:-5.050277091586038, Ph = 0

 Nodal results 
Node x:5.0, y:-3.0, Vector potential = 1.074085580791999e-005
Node x:5.0, y:-3.0, Bx = -0.001225968038745874
Node x:5.0, y:-3.0, By = 0.001368006341662969
Node x:5.0, y:-3.0, Sigma = 0
Node x:5.0, y:-3.0, E = 1.342646610709001
Node x:5.0, y:-3.0, Hx = -975.5943671954105
Node x:5.0, y:-3.0, Hy = 1088.624857283609
Node x:5.0, y:-3.0, Je = 0
Node x:5.0, y:-3.0, Js = 0
Node x:5.0, y:-3.0, Mux = 1
Node x:5.0, y:-3.0, Muy = 1
Node x:5.0, y:-3.0, Pe = 0
Node x:5.0, y:-3.0, Ph = 0

 Nodal results 
Node x:5.5, y:-4.035639322046011, Vector potential = 7.456360882412035e-006
Node x:5.5, y:-4.035639322046011, Bx = -0.001351773950379698
Node x:5.5, y:-4.035639322046011, By = 0.0005065097033447583
Node x:5.5, y:-4.035639322046011, Sigma = 0
Node x:5.5, y:-4.035639322046011, E = 0.8291355381984316
Node x:5.5, y:-4.035639322046011, Hx = -1075.707530728937
Node x:5.5, y:-4.035639322046011, Hy = 403.067615056639
Node x:5.5, y:-4.035639322046011, Je = 0
Node x:5.5, y:-4.035639322046011, Js = 0
Node x:5.5, y:-4.035639322046011, Mux = 1
Node x:5.5, y:-4.035639322046011, Muy = 1
Node x:5.5, y:-4.035639322046011, Pe = 0
Node x:5.5, y:-4.035639322046011, Ph = 0

 Nodal results 
Node x:5.625, y:-6.0, Vector potential = 0
Node x:5.625, y:-6.0, Bx = -0.0009881639704846339
Node x:5.625, y:-6.0, By = 8.323955284302335e-005
Node x:5.625, y:-6.0, Sigma = 0
Node x:5.625, y:-6.0, E = 0.3912811765227456
Node x:5.625, y:-6.0, Hx = -786.3559024397163
Node x:5.625, y:-6.0, Hy = 66.23993147863098
Node x:5.625, y:-6.0, Je = 0
Node x:5.625, y:-6.0, Js = 0
Node x:5.625, y:-6.0, Mux = 1
Node x:5.625, y:-6.0, Muy = 1
Node x:5.625, y:-6.0, Pe = 0
Node x:5.625, y:-6.0, Ph = 0

 Nodal results 
Node x:0.0, y:5.0, Vector potential = 0
Node x:0.0, y:5.0, Bx = 0
Node x:0.0, y:5.0, By = 0.0002837787594682853
Node x:0.0, y:5.0, Sigma = 0
Node x:0.0, y:5.0, E = 0.0320420218361774
Node x:0.0, y:5.0, Hx = 0
Node x:0.0, y:5.0, Hy = 225.823961569318
Node x:0.0, y:5.0, Je = 0
Node x:0.0, y:5.0, Js = 0
Node x:0.0, y:5.0, Mux = 1
Node x:0.0, y:5.0, Muy = 1
Node x:0.0, y:5.0, Pe = 0
Node x:0.0, y:5.0, Ph = 0

 Nodal results 
Node x:1.4375, y:4.596873514985513, Vector potential = 3.428559306968527e-007
Node x:1.4375, y:4.596873514985513, Bx = 0.000244679407610521
Node x:1.4375, y:4.596873514985513, By = 0.0004864298475225725
Node x:1.4375, y:4.596873514985513, Sigma = 0
Node x:1.4375, y:4.596873514985513, E = 0.1179664432030552
Node x:1.4375, y:4.596873514985513, Hx = 194.7096859700557
Node x:1.4375, y:4.596873514985513, Hy = 387.0885735032717
Node x:1.4375, y:4.596873514985513, Je = 0
Node x:1.4375, y:4.596873514985513, Js = 0
Node x:1.4375, y:4.596873514985513, Mux = 1
Node x:1.4375, y:4.596873514985513, Muy = 1
Node x:1.4375, y:4.596873514985513, Pe = 0
Node x:1.4375, y:4.596873514985513, Ph = 0

 Nodal results 
Node x:2.737212827323366, y:2.4553616923915462, Vector potential = 2.763991962643636e-006
Node x:2.737212827323366, y:2.4553616923915462, Bx = 0.0003935746243799239
Node x:2.737212827323366, y:2.4553616923915462, By = 0.001196106265840504
Node x:2.737212827323366, y:2.4553616923915462, Sigma = 0
Node x:2.737212827323366, y:2.4553616923915462, E = 0.6308787289493646
Node x:2.737212827323366, y:2.4553616923915462, Hx = 313.1967347280043
Node x:2.737212827323366, y:2.4553616923915462, Hy = 951.8311233585241
Node x:2.737212827323366, y:2.4553616923915462, Je = 0
Node x:2.737212827323366, y:2.4553616923915462, Js = 0
Node x:2.737212827323366, y:2.4553616923915462, Mux = 1
Node x:2.737212827323366, y:2.4553616923915462, Muy = 1
Node x:2.737212827323366, y:2.4553616923915462, Pe = 0
Node x:2.737212827323366, y:2.4553616923915462, Ph = 0

 Nodal results 
Node x:3.6846879707379356, y:0.26913304441839997, Vector potential = 7.13173125108304e-006
Node x:3.6846879707379356, y:0.26913304441839997, Bx = 0.0001112075851810823
Node x:3.6846879707379356, y:0.26913304441839997, By = 0.001949541631029332
Node x:3.6846879707379356, y:0.26913304441839997, Sigma = 0
Node x:3.6846879707379356, y:0.26913304441839997, E = 1.517176205897205
Node x:3.6846879707379356, y:0.26913304441839997, Hx = 88.49618445441129
Node x:3.6846879707379356, y:0.26913304441839997, Hy = 1551.395936708771
Node x:3.6846879707379356, y:0.26913304441839997, Je = 0
Node x:3.6846879707379356, y:0.26913304441839997, Js = 0
Node x:3.6846879707379356, y:0.26913304441839997, Mux = 1
Node x:3.6846879707379356, y:0.26913304441839997, Muy = 1
Node x:3.6846879707379356, y:0.26913304441839997, Pe = 0
Node x:3.6846879707379356, y:0.26913304441839997, Ph = 0

 Nodal results 
Node x:3.538410325190366, y:1.0446383076084549, Vector potential = 6.101812930020674e-006
Node x:3.538410325190366, y:1.0446383076084549, Bx = 0.0003480750559330394
Node x:3.538410325190366, y:1.0446383076084549, By = 0.001844770085092529
Node x:3.538410325190366, y:1.0446383076084549, Sigma = 0
Node x:3.538410325190366, y:1.0446383076084549, E = 1.402287509882905
Node x:3.538410325190366, y:1.0446383076084549, Hx = 276.9893285936558
Node x:3.538410325190366, y:1.0446383076084549, Hy = 1468.021389552662
Node x:3.538410325190366, y:1.0446383076084549, Je = 0
Node x:3.538410325190366, y:1.0446383076084549, Js = 0
Node x:3.538410325190366, y:1.0446383076084549, Mux = 1
Node x:3.538410325190366, y:1.0446383076084549, Muy = 1
Node x:3.538410325190366, y:1.0446383076084549, Pe = 0
Node x:3.538410325190366, y:1.0446383076084549, Ph = 0

 Nodal results 
Node x:4.217785685319383, y:-0.31277106239856894, Vector potential = 9.857268955747075e-006
Node x:4.217785685319383, y:-0.31277106239856894, Bx = -2.00908754920977e-005
Node x:4.217785685319383, y:-0.31277106239856894, By = 0.002039829147531825
Node x:4.217785685319383, y:-0.31277106239856894, Sigma = 0
Node x:4.217785685319383, y:-0.31277106239856894, E = 1.655731285548535
Node x:4.217785685319383, y:-0.31277106239856894, Hx = -15.98781072805582
Node x:4.217785685319383, y:-0.31277106239856894, Hy = 1623.244459463085
Node x:4.217785685319383, y:-0.31277106239856894, Je = 0
Node x:4.217785685319383, y:-0.31277106239856894, Js = 0
Node x:4.217785685319383, y:-0.31277106239856894, Mux = 1
Node x:4.217785685319383, y:-0.31277106239856894, Muy = 1
Node x:4.217785685319383, y:-0.31277106239856894, Pe = 0
Node x:4.217785685319383, y:-0.31277106239856894, Ph = 0

 Nodal results 
Node x:5.0, y:-2.0, Vector potential = 1.439029598187988e-005
Node x:5.0, y:-2.0, Bx = -0.0005292017567350933
Node x:5.0, y:-2.0, By = 0.001754020276186191
Node x:5.0, y:-2.0, Sigma = 0
Node x:5.0, y:-2.0, E = 1.335565268450808
Node x:5.0, y:-2.0, Hx = -421.1253773865241
Node x:5.0, y:-2.0, Hy = 1395.804986192219
Node x:5.0, y:-2.0, Je = 0
Node x:5.0, y:-2.0, Js = 0
Node x:5.0, y:-2.0, Mux = 1
Node x:5.0, y:-2.0, Muy = 1
Node x:5.0, y:-2.0, Pe = 0
Node x:5.0, y:-2.0, Ph = 0

 Nodal results 
Node x:5.0, y:-1.0, Vector potential = 1.444999100335471e-005
Node x:5.0, y:-1.0, Bx = -3.608910009620693e-005
Node x:5.0, y:-1.0, By = 0.001795120541487266
Node x:5.0, y:-1.0, Sigma = 0
Node x:5.0, y:-1.0, E = 1.282693420617248
Node x:5.0, y:-1.0, Hx = -28.71879336024764
Node x:5.0, y:-1.0, Hy = 1428.51153811749
Node x:5.0, y:-1.0, Je = 0
Node x:5.0, y:-1.0, Js = 0
Node x:5.0, y:-1.0, Mux = 1
Node x:5.0, y:-1.0, Muy = 1
Node x:5.0, y:-1.0, Pe = 0
Node x:5.0, y:-1.0, Ph = 0

 Nodal results 
Node x:6.159162047761484, y:-4.979851706966896, Vector potential = 3.948590560777685e-006
Node x:6.159162047761484, y:-4.979851706966896, Bx = -0.001064917302847565
Node x:6.159162047761484, y:-4.979851706966896, By = 0.0001096308549093502
Node x:6.159162047761484, y:-4.979851706966896, Sigma = 0
Node x:6.159162047761484, y:-4.979851706966896, E = 0.456005883251093
Node x:6.159162047761484, y:-4.979851706966896, Hx = -847.4342636613942
Node x:6.159162047761484, y:-4.979851706966896, Hy = 87.24146237106733
Node x:6.159162047761484, y:-4.979851706966896, Je = 0
Node x:6.159162047761484, y:-4.979851706966896, Js = 0
Node x:6.159162047761484, y:-4.979851706966896, Mux = 1
Node x:6.159162047761484, y:-4.979851706966896, Muy = 1
Node x:6.159162047761484, y:-4.979851706966896, Pe = 0
Node x:6.159162047761484, y:-4.979851706966896, Ph = 0

 Nodal results 
Node x:5.708333333333333, y:-2.2916666666666665, Vector potential = 1.715633506019569e-005
Node x:5.708333333333333, y:-2.2916666666666665, Bx = -0.0009369744621242147
Node x:5.708333333333333, y:-2.2916666666666665, By = 0.001089310545997985
Node x:5.708333333333333, y:-2.2916666666666665, Sigma = 58
