Column1,Column2,Column3
1.68879525,0.000155834,
1.70028366,0.000152244,
1.71177206,0.000148655,
1.72326046,0.000145065,
1.73474887,0.000141475,
1.74623727,0.000137886,
1.75772567,0.000133382,
1.76921408,0.000128629,
1.78070248,0.000123876,
1.79219088,0.000119123,
1.80367928,0.00011437,
1.81516769,0.000109617,
1.82665609,0.000104864,
1.83814449,0.000100111,
1.8496329,9.53577E-05,
1.8611213,9.06048E-05,
1.8726097,8.58518E-05,
1.88409811,8.10988E-05,
1.89558651,7.63458E-05,
1.90707491,7.15928E-05,
1.91856332,6.68398E-05,
1.93005172,6.20869E-05,
1.94154012,5.73339E-05,
1.95302852,0.000289101,
1.96451693,0.000285201,
1.97600533,0.000281301,
1.98749373,0.000277402,
1.99898214,0.000273502,
2.01047054,0.000269602,
2.02195894,0.000265702,
2.03344735,0.000261802,
2.04493575,0.000257903,
2.05642415,0.000254003,
2.06791256,0.000250103,
2.07940096,0.000246203,
2.09088936,0.000242303,
2.10237777,0.000238404,
2.11386617,0.000234504,
2.12535457,0.000230604,
2.13684297,0.000226704,
2.14833138,0.000221707,
2.15981978,0.000216667,
2.17130818,0.000211626,
2.18279659,0.000206585,
2.19428499,0.000201544,
2.20577339,0.000196503,
2.2172618,0.000191462,
2.2287502,0.000186421,
2.2402386,0.00018138,
2.25172701,0.000176339,
2.26321541,0.000171298,
2.27470381,0.000166258,
2.28619221,0.000161217,
2.29768062,0.000156176,
2.30916902,0.000151135,
2.32065742,0.000146094,
2.33214583,0.000413155,
2.34363423,0.000409393,
2.35512263,0.000405631,
2.36661104,0.000401869,
2.37809944,0.000398107,
2.38958784,0.000394345,
2.40107625,0.000390583,
2.41256465,0.000386821,
2.42405305,0.000383059,
2.43554145,0.000379297,
2.44702986,0.000375535,
2.45851826,0.000371773,
2.47000666,0.000368011,
2.48149507,0.000364249,
2.49298347,0.000360487,
2.50447187,0.000356725,
2.51596028,0.000352963,
2.52744868,0.000349057,
2.53893708,0.000344241,
2.55042549,0.000339424,
2.56191389,0.000334607,
2.57340229,0.00032979,
2.58489069,0.000324973,
2.5963791,0.000320156,
2.6078675,0.000315339,
2.6193559,0.000310523,
2.63084431,0.000305706,
2.64233271,0.000300889,
2.65382111,0.000296072,
2.66530952,0.000291255,
2.67679792,0.000286438,
2.68828632,0.000281621,
2.69977473,0.000276804,
2.71126313,0.000271988,
2.72275153,0.000585005,
2.73423993,0.00058218,
2.74572834,0.000579354,
2.75721674,0.000576529,
2.76870514,0.000573703,
2.78019355,0.000570878,
2.79168195,0.000568052,
2.80317035,0.000565227,
2.81465876,0.000562402,
2.82614716,0.000559576,
2.83763556,0.000556751,
2.84912397,0.000553925,
2.86061237,0.0005511,
2.87210077,0.000548275,
2.88358918,0.000545449,
2.89507758,0.000542624,
2.90656598,0.000539798,
2.91805438,0.000536773,
2.92954279,0.000533306,
2.94103119,0.00052984,
2.95251959,0.000526373,
2.964008,0.000522906,
2.9754964,0.00051944,
2.9869848,0.000515973,
2.99847321,0.000512506,
3.00996161,0.000509039,
3.02145001,0.000505573,
3.03293842,0.000502106,
3.04442682,0.000498639,
3.05591522,0.000495172,
3.06740362,0.000491706,
3.07889203,0.000488239,
3.09038043,0.000484772,
3.10186883,0.000481306,
3.11335724,0.000852493,
3.12484564,0.0008517,
3.13633404,0.000850907,
3.14782245,0.000850114,
3.15931085,0.000849321,
3.17079925,0.000848527,
3.18228766,0.000847734,
3.19377606,0.000846941,
3.20526446,0.000846148,
3.21675286,0.000845355,
3.22824127,0.000844562,
3.23972967,0.000843769,
3.25121807,0.000842976,
3.26270648,0.000842182,
3.27419488,0.000841389,
3.28568328,0.000840596,
3.29717169,0.000839803,
3.30866009,0.00083751,
3.32014849,0.000833622,
3.3316369,0.000829735,
3.3431253,0.000825848,
3.3546137,0.00082196,
3.3661021,0.000818073,
3.37759051,0.000814186,
3.38907891,0.000810299,
3.40056731,0.000806411,
3.41205572,0.000802524,
3.42354412,0.000798637,
3.43503252,0.000794749,
3.44652093,0.000790862,
3.45800933,0.000786975,
3.46949773,0.000783088,
3.48098614,0.0007792,
3.49247454,0.000775313,
3.50396294,0.001217719,
3.51545134,0.001212829,
3.52693975,0.001207939,
3.53842815,0.001203049,
3.54991655,0.001198159,
3.56140496,0.001193269,
3.57289336,0.001188379,
3.58438176,0.00118349,
3.59587017,0.0011786,
3.60735857,0.00117371,
3.61884697,0.00116882,
3.63033538,0.00116393,
3.64182378,0.00115904,
3.65331218,0.00115415,
3.66480059,0.001149261,
3.67628899,0.001144371,
3.68777739,0.001139481,
3.69926579,0.001129253,
3.7107542,0.001116262,
3.7222426,0.001103271,
3.733731,0.00109028,
3.74521941,0.001077289,
3.75670781,0.001064298,
3.76819621,0.001051307,
3.77968462,0.001038316,
3.79117302,0.001025325,
3.80266142,0.001012334,
3.81414983,0.000999343,
3.82563823,0.000986352,
3.83712663,0.00097336,
3.84861503,0.000960369,
3.86010344,0.000947378,
3.87159184,0.000934387,
3.88308024,0.000921396,
3.89456865,0.001446976,
3.90605705,0.001431815,
3.91754545,0.001416655,
3.92903386,0.001401494,
3.94052226,0.001386334,
3.95201066,0.001371173,
3.96349907,0.001356013,
3.97498747,0.001340852,
3.98647587,0.001325692,
3.99796427,0.001310531,
4.00945268,0.001295371,
4.02094108,0.00128021,
4.03242948,0.00126505,
4.04391789,0.001249889,
4.05540629,0.001234729,
4.06689469,0.001219568,
4.0783831,0.001204408,
4.0898715,0.001180619,
4.1013599,0.001155104,
4.11284831,0.00112959,
4.12433671,0.001104076,
4.13582511,0.001078562,
4.14731351,0.001053047,
4.15880192,0.001027533,
4.17029032,0.001002019,
4.18177872,0.000976505,
4.19326713,0.00095099,
4.20475553,0.000925476,
4.21624393,0.000899962,
4.22773234,0.000874447,
4.23922074,0.000848933,
4.25070914,0.000823419,
4.26219755,0.000797905,
4.27368595,0.00077239,
4.28517435,0.001420774,
4.29666275,0.001388226,
4.30815116,0.001355678,
4.31963956,0.001323129,
4.33112796,0.001290581,
4.34261637,0.001258033,
4.35410477,0.001225485,
4.36559317,0.001192937,
4.37708158,0.001160389,
4.38856998,0.001127841,
4.40005838,0.001095292,
4.41154679,0.001062744,
4.42303519,0.001030196,
4.43452359,0.000997648,
4.446012,0.0009651,
4.4575004,0.000932552,
4.4689888,0.000899708,
4.4804772,0.000829268,
4.49196561,0.000758829,
4.50345401,0.000688389,
4.51494241,0.00061795,
4.52643082,0.00054751,
4.53791922,0.000477071,
4.54940762,0.000406631,
4.56089603,0.000336192,
4.57238443,0.000265752,
4.58387283,0.000195313,
4.59536124,0.000124873,
4.60684964,5.44335E-05,
4.61833804,-1.60061E-05,
4.62982644,-8.64456E-05,
4.64131485,-0.000156885,
4.65280325,-0.000227325,
4.66429165,0.000580232,
4.67578006,0.000430488,
4.68726846,0.000280745,
4.69875686,0.000131001,
4.71024527,-1.87427E-05,
4.72173367,-0.000168486,
4.73322207,-0.00031823,
4.74471048,-0.000467974,
4.75619888,-0.000617717,
4.76768728,-0.000767461,
4.77917568,-0.000917205,
4.79066409,-0.001066948,
4.80215249,-0.001216692,
4.81364089,-0.001366435,
4.8251293,-0.001516179,
4.8366177,-0.001665923,
4.8481061,-0.001815666,
4.85959451,-0.001985414,
4.87108291,-0.002244732,
4.88257131,-0.002504049,
4.89405972,-0.002763367,
4.90554812,-0.003022684,
4.91703652,-0.003282002,
4.92852492,-0.00354132,
4.94001333,-0.003800637,
4.95150173,-0.004059955,
4.96299013,-0.00454499,
4.97447854,-0.005115213,
4.98596694,-0.005685436,
4.99745534,-0.00625566,
5.00894375,-0.006825883,
5.02043215,-0.007396107,
5.03192055,-0.00796633,
5.04340896,-0.008536553,
5.05489736,-0.007917354,
5.06638576,-0.008973978,
5.07787416,-0.010030603,
5.08936257,-0.011087227,
5.10085097,-0.012143852,
5.11233937,-0.013200476,
5.12382778,-0.014257101,
5.13531618,-0.015313725,
5.14680458,-0.01637035,
5.15829299,-0.017426974,
5.16978139,-0.018483599,
5.18126979,-0.019540224,
5.1927582,-0.020708144,
5.2042466,-0.022306769,
5.215735,-0.023905393,
5.2272234,-0.025504018,
5.23871181,-0.027102642,
5.25020021,-0.028701267,
5.26168861,-0.031064257,
5.27317702,-0.033661955,
5.28466542,-0.036259652,
5.29615382,-0.03885735,
5.30764223,-0.041455047,
5.31913063,-0.044981248,
5.33061903,-0.050438067,
