X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
23.47,129.7,2.04,0.1,1.55,2.5,1.75,14.11,-33.0,-201.7,81.64
23.0,101.2,2.71,0.08,1.1,2.05,1.54,12.87,-40.0,-178.16,84.65
20.47,136.6,1.95,0.17,1.6,2.52,1.58,13.89,-36.0,-189.19,84.05
18.45,117.4,1.03,0.53,2.39,2.15,1.65,12.55,-41.0,-160.01,89.66
17.67,112.9,1.23,0.52,3.37,2.07,1.57,10.63,-43.0,-137.3,97.08
19.45,107.4,1.19,0.4,2.39,2.2,1.7,14.29,-31.0,-199.01,81.37
23.07,95.9,0.5,0.45,1.93,2.4,1.9,14.42,-29.0,-207.29,79.84
23.28,101.6,0.59,0.41,3.29,2.36,1.54,13.69,-37.0,-181.69,87.97
20.22,111.7,3.41,0.06,1.0,2.37,1.74,13.57,-37.0,-185.97,81.78
23.64,94.5,2.67,0.42,1.0,2.32,1.69,14.77,-27.0,-215.24,74.8
17.4,118.6,0.78,0.53,2.8,2.14,1.64,12.75,-41.0,-158.24,90.01
22.88,118.5,1.34,0.85,2.37,2.4,1.87,12.78,-41.0,-171.39,92.69
19.14,134.3,1.13,0.3,2.78,2.38,1.74,14.79,-27.0,-215.83,77.18
22.99,125.6,2.85,0.08,1.07,2.06,1.55,10.51,-43.0,-153.43,100.43
22.97,117.4,1.61,0.32,1.88,2.27,1.59,12.16,-43.0,-162.07,95.82
23.27,103.6,0.59,0.41,3.21,2.15,1.54,14.69,-28.0,-207.6,76.06
23.01,133.0,1.5,0.38,0.71,2.52,1.58,10.68,-45.0,-147.57,103.18
20.23,93.4,1.66,0.25,0.71,2.01,1.5,13.15,-40.0,-164.65,88.55
16.84,119.3,1.87,0.42,2.55,2.08,1.58,10.33,-42.0,-134.75,101.68
18.42,117.0,3.24,0.36,1.09,2.26,1.75,13.57,-36.0,-185.63,82.97
19.24,115.3,1.26,0.31,3.37,2.12,1.5,14.3,-32.0,-194.73,80.12
23.02,104.5,2.04,0.17,1.53,2.5,1.75,14.13,-34.0,-199.54,80.63
18.61,117.3,0.7,0.53,2.37,2.15,1.65,13.44,-38.0,-173.46,87.95
23.01,136.9,1.91,0.03,1.43,2.35,1.85,12.62,-40.0,-179.97,89.32
19.54,109.6,1.37,0.87,2.95,2.25,1.72,14.31,-32.0,-196.76,83.42
24.01,139.1,0.5,0.3,3.25,2.11,1.54,14.71,-27.0,-209.15,78.1
24.89,121.3,0.61,0.26,2.73,2.17,1.66,12.33,-43.0,-167.46,94.11
19.14,120.0,1.47,0.86,2.96,2.34,1.82,14.7,-28.0,-210.4,79.23
19.07,111.3,1.85,0.29,1.71,2.0,1.5,13.2,-37.0,-175.97,85.89
19.88,104.4,1.46,0.17,2.77,2.19,1.69,14.47,-31.0,-209.15,71.86
20.6,98.8,0.5,0.46,1.93,2.16,1.66,14.32,-30.0,-198.82,83.7
20.29,108.6,3.4,0.92,0.95,2.34,1.83,10.71,-44.0,-142.02,100.36
15.45,137.9,1.67,0.24,3.29,2.23,1.69,14.69,-29.0,-211.58,73.3
23.64,118.7,2.83,0.41,1.0,2.35,1.72,14.77,-27.0,-218.7,75.48
19.54,133.0,1.63,0.64,0.52,2.66,1.75,14.72,-28.0,-208.85,82.06
23.7,129.8,2.04,0.1,1.55,2.35,1.75,14.16,-33.0,-205.18,79.29
22.02,104.9,0.54,0.34,1.65,2.48,1.87,12.85,-41.0,-168.05,91.77
19.27,116.9,1.31,0.38,0.86,2.2,1.7,10.81,-45.0,-136.5,102.11
22.31,108.0,0.66,0.4,3.09,2.1,1.5,14.66,-29.0,-206.73,75.97
