X1,X2,X3,X4,X5,X6,X7,X8,COG
22.8,104.7,1.01,0.96,0.91,2.18,1.61,12.41,19.68
17.6,124.2,2.65,0.46,2.31,2.28,1.63,10.43,19.47
22.35,121.8,3.52,0.9,0.55,2.22,1.59,14.65,18.62
18.45,135.2,2.55,0.9,2.02,2.64,1.73,12.73,19.58
24.16,130.9,1.51,0.35,1.88,2.35,1.51,12.53,19.41
15.38,132.2,1.5,0.53,2.14,2.11,1.61,11.48,21.03
24.28,130.1,0.95,0.86,1.97,2.54,1.7,12.53,19.67
20.7,97.8,0.53,0.98,3.64,2.16,1.66,13.73,20.79
18.29,124.4,2.12,0.35,2.65,2.39,1.71,14.82,19.0
23.14,132.4,1.8,0.76,2.12,2.2,1.6,10.61,18.92
22.19,121.8,2.6,0.93,1.24,2.31,1.81,14.75,19.19
24.23,115.2,0.73,0.45,2.72,2.43,1.86,10.63,19.32
24.5,135.9,2.19,0.03,1.24,2.58,1.66,14.21,20.57
20.73,128.4,0.59,0.2,3.47,2.48,1.85,10.82,19.89
22.29,116.1,1.87,0.78,1.78,2.08,1.52,13.07,20.09
19.16,109.3,2.05,0.12,2.31,2.2,1.58,10.22,19.94
19.51,122.7,0.53,0.18,0.53,2.12,1.62,10.63,18.87
18.22,105.9,0.6,0.61,1.73,2.01,1.51,13.16,20.15
24.59,109.5,3.12,0.01,0.5,2.24,1.66,14.73,18.76
19.19,118.1,0.5,0.29,1.01,2.1,1.59,11.53,20.83
18.28,130.6,2.4,0.86,0.98,2.46,1.81,14.23,20.57
23.04,91.0,3.27,0.75,0.5,2.12,1.53,14.11,20.01
19.38,138.8,2.37,0.77,1.4,2.7,1.76,14.2,20.42
18.99,104.7,0.53,0.46,1.38,2.08,1.58,13.42,20.6
23.73,95.0,2.19,0.27,1.5,2.24,1.74,14.01,20.42
24.39,135.6,0.5,0.23,3.19,2.3,1.68,11.52,21.31
17.58,135.2,2.54,0.88,2.01,2.51,1.73,13.08,20.64
22.54,110.0,0.51,0.01,2.05,2.39,1.85,14.66,19.3
23.07,91.0,0.81,0.75,2.7,2.08,1.51,10.61,18.88
18.1,110.7,0.51,0.01,1.71,2.02,1.51,10.18,19.8
21.03,132.4,1.83,0.79,1.94,2.39,1.8,10.37,20.01
20.69,105.6,1.62,0.27,2.57,2.13,1.55,10.58,18.9
19.34,101.0,1.26,0.03,3.01,2.06,1.56,12.61,18.96
16.29,124.6,1.91,0.15,3.07,2.11,1.61,12.81,19.89
17.16,129.8,3.46,0.25,1.14,2.26,1.67,14.27,20.04
18.29,132.4,1.8,0.76,2.22,2.4,1.6,10.72,19.38
17.19,120.4,1.48,0.53,3.06,2.15,1.65,11.48,21.14
21.05,97.9,0.5,0.41,3.69,2.05,1.55,11.75,20.74
21.2,97.8,0.54,0.99,3.62,2.22,1.71,13.73,20.95
23.8,132.3,2.11,0.26,1.7,2.5,1.76,12.67,19.48
24.42,135.1,1.7,0.18,1.73,2.16,1.66,12.79,19.6
24.48,94.7,0.5,0.06,2.92,2.18,1.59,11.47,21.06
22.35,121.8,3.52,0.9,0.54,2.36,1.82,10.5,19.5
18.16,133.5,1.35,0.14,0.95,2.36,1.66,12.1,20.49
24.3,129.1,1.64,0.86,1.84,2.62,1.7,12.53,19.53
18.01,132.5,1.29,0.18,3.07,2.48,1.53,12.09,20.5
18.3,130.6,2.56,0.86,1.38,2.52,1.76,14.01,20.75
23.27,131.4,1.35,0.48,2.31,2.35,1.54,14.83,18.88
20.47,127.8,0.83,0.19,3.34,2.14,1.58,13.47,20.99
19.11,104.9,1.32,0.35,1.51,2.1,1.6,13.42,20.71
19.17,117.6,0.52,0.29,1.01,2.36,1.81,12.33,20.21
23.46,101.3,0.52,0.63,3.01,2.05,1.51,12.66,18.96
19.16,134.6,2.81,0.76,1.61,2.2,1.6,10.62,18.82
19.34,111.2,1.26,0.07,2.96,2.1,1.56,12.61,18.96
18.42,134.6,2.81,0.79,1.51,2.2,1.6,14.67,18.66
19.34,101.0,1.29,0.03,1.47,2.06,1.52,12.61,18.73
23.32,138.4,2.64,0.27,0.81,2.38,1.51,10.89,19.72
18.78,133.8,2.0,0.27,0.68,2.1,1.58,10.63,18.82
18.01,132.5,3.07,0.18,1.26,2.48,1.53,12.09,20.26
23.78,121.8,3.03,0.04,0.53,2.24,1.59,12.17,20.3
21.0,109.5,0.88,0.18,2.96,2.1,1.6,11.74,21.27
18.77,110.2,2.02,0.61,2.66,2.17,1.67,13.49,20.88
24.46,94.3,0.5,0.03,3.04,2.2,1.7,11.49,21.06
19.51,122.6,1.7,0.18,0.53,2.1,1.6,12.73,19.07
17.6,124.2,1.28,0.35,2.35,2.13,1.63,10.37,19.55
24.4,109.9,0.5,0.24,3.13,2.22,1.68,14.44,20.06
24.63,127.5,1.17,0.23,2.22,2.2,1.58,10.98,20.29
23.27,105.6,1.81,0.4,1.79,2.2,1.6,10.69,19.44
23.07,91.1,0.81,0.75,1.75,2.08,1.51,10.61,18.86
15.7,128.0,2.48,0.52,2.23,2.08,1.58,10.29,19.78
20.71,105.7,1.67,0.96,2.64,2.13,1.57,12.53,19.02
23.17,110.7,0.51,0.01,2.29,2.17,1.66,10.59,19.22
20.17,106.9,0.84,0.4,3.32,2.12,1.55,10.69,19.2
24.5,135.9,2.19,0.02,1.24,2.59,1.66,10.29,19.59
21.12,101.0,0.54,0.03,2.75,2.12,1.56,12.61,19.09
19.34,116.1,1.26,0.03,3.03,2.06,1.52,12.61,18.9
23.45,102.6,3.29,0.33,0.5,2.03,1.53,14.78,18.5
19.78,97.1,0.5,0.4,3.91,2.03,1.53,10.63,18.68
24.45,110.9,0.5,0.05,3.13,2.3,1.7,11.5,21.0
24.89,119.9,1.26,0.53,0.86,2.52,1.95,11.48,21.87
24.94,120.1,1.43,0.78,1.22,2.5,1.96,12.66,19.67
17.89,124.7,1.29,0.17,3.07,2.34,1.53,12.09,20.29
15.58,127.5,2.64,0.23,0.81,2.06,1.56,11.04,20.1
16.55,124.5,0.81,0.69,2.72,2.14,1.61,13.14,20.82
19.34,101.6,0.74,0.03,3.15,2.07,1.57,12.61,18.94
17.59,132.4,1.8,0.76,2.23,2.16,1.6,10.07,20.17
18.15,110.1,3.57,0.45,0.97,2.08,1.58,10.52,18.91
20.69,105.6,1.6,0.45,2.56,2.13,1.55,10.58,18.9
23.83,135.1,2.12,0.35,1.22,2.66,1.71,13.16,20.76
24.59,109.2,0.5,0.37,3.11,2.2,1.66,14.86,19.39
20.17,126.2,1.35,0.07,2.88,2.24,1.66,10.63,19.22
18.1,110.0,0.93,0.45,0.66,2.06,1.51,10.5,18.98
23.8,134.5,2.19,0.4,0.89,2.24,1.74,14.06,20.6
24.51,134.6,1.69,0.19,1.72,2.15,1.65,12.79,19.66
24.59,109.5,3.12,0.01,0.5,2.28,1.66,14.73,18.76
19.37,101.0,1.26,0.03,3.01,2.06,1.56,11.87,20.83
23.12,132.5,0.73,0.28,2.95,2.06,1.56,11.55,20.84
24.39,135.6,0.53,0.23,3.16,2.33,1.71,13.74,21.22
24.33,115.7,0.58,0.76,3.01,2.82,1.86,10.62,19.44
24.19,102.2,0.93,0.31,0.62,2.03,1.53,10.61,18.76
23.83,109.9,0.59,0.35,2.98,2.66,1.71,14.82,19.18
24.4,131.9,1.47,0.22,1.4,2.26,1.66,14.01,20.49
23.66,108.6,3.31,0.45,0.5,2.5,1.76,12.7,19.35
16.41,120.7,1.28,0.18,2.99,2.05,1.55,13.17,20.57
22.33,131.6,0.8,0.9,1.11,2.47,1.55,14.41,19.67
23.69,107.5,3.24,0.95,0.5,2.03,1.52,10.33,19.25
24.65,93.1,0.5,0.01,3.02,2.2,1.66,14.73,18.79
20.84,124.4,0.95,0.33,3.12,2.28,1.72,14.82,19.14
23.22,124.6,1.54,0.17,2.11,2.01,1.51,13.83,20.36
19.33,101.3,1.26,0.06,3.04,2.06,1.56,12.62,19.05
24.42,135.2,0.54,0.18,1.73,2.16,1.66,10.64,19.35
16.9,127.6,1.46,0.1,1.01,2.25,1.75,12.82,19.98
24.48,135.6,0.5,0.01,3.17,2.28,1.66,11.81,21.17
19.38,109.3,1.32,0.1,0.9,2.23,1.66,13.0,20.28
18.13,132.4,1.6,0.76,2.12,2.13,1.55,10.61,18.85
20.84,93.3,1.24,0.22,2.69,2.08,1.58,12.79,19.85
15.91,132.4,1.84,0.74,2.09,2.2,1.6,14.84,18.99
24.13,133.4,1.62,0.27,1.04,2.13,1.55,10.58,18.74
24.44,132.3,1.46,0.27,1.98,2.3,1.55,10.17,20.13
19.78,109.5,0.5,0.4,3.99,2.05,1.55,10.63,18.68
20.47,126.5,0.85,0.19,2.59,2.16,1.58,13.41,20.55
17.6,124.4,1.25,0.36,0.9,2.28,1.63,14.26,20.03
20.43,127.5,0.83,0.19,3.34,2.12,1.58,13.34,20.91
23.7,107.7,1.06,0.93,0.51,2.04,1.52,10.22,19.85
21.07,92.8,0.92,0.19,2.96,2.09,1.59,11.74,21.18
