X1,X2,X3,X4,X5,X6,X7,X8,COG
21.95,128.4,1.11,0.34,2.76,2.16,1.5,12.87,19.46
23.52,105.7,0.59,0.41,2.95,2.28,1.54,14.66,18.61
22.79,132.9,1.5,0.63,0.75,2.51,1.58,14.52,19.08
23.27,82.7,3.0,0.62,0.69,2.12,1.54,14.47,19.13
19.41,116.9,1.46,0.31,2.4,2.13,1.51,14.53,18.73
23.07,98.3,0.5,0.37,3.33,2.04,1.52,14.29,19.63
19.88,95.2,2.06,0.77,1.39,2.01,1.51,14.72,18.49
19.59,136.9,1.37,0.87,1.47,2.25,1.73,14.78,19.17
22.95,119.5,2.97,0.09,0.97,2.07,1.55,10.51,18.89
24.31,109.0,3.2,0.52,0.5,2.32,1.53,14.89,18.83
23.19,110.9,2.06,0.19,1.58,2.42,1.8,10.18,20.29
19.73,139.5,1.46,0.3,2.64,2.28,1.66,14.48,19.08
23.47,129.7,2.04,0.1,1.55,2.5,1.75,14.11,20.23
23.0,101.2,2.71,0.08,1.1,2.05,1.54,12.87,19.67
20.47,136.6,1.95,0.17,1.6,2.52,1.58,13.89,20.34
18.45,117.4,1.03,0.53,2.39,2.15,1.65,12.55,19.3
17.67,112.9,1.23,0.52,3.37,2.07,1.57,10.63,18.96
19.45,107.4,1.19,0.4,2.39,2.2,1.7,14.29,19.89
23.07,95.9,0.5,0.45,1.93,2.4,1.9,14.42,19.84
23.28,101.6,0.59,0.41,3.29,2.36,1.54,13.69,20.6
20.22,111.7,3.41,0.06,1.0,2.37,1.74,13.57,21.16
23.64,94.5,2.67,0.42,1.0,2.32,1.69,14.77,18.89
17.4,118.6,0.78,0.53,2.8,2.14,1.64,12.75,19.42
22.88,118.5,1.34,0.85,2.37,2.4,1.87,12.78,19.76
19.14,134.3,1.13,0.3,2.78,2.38,1.74,14.79,19.04
22.99,125.6,2.85,0.08,1.07,2.06,1.55,10.51,19.11
22.97,117.4,1.61,0.32,1.88,2.27,1.59,12.16,20.3
23.27,103.6,0.59,0.41,3.21,2.15,1.54,14.69,18.54
23.01,133.0,1.5,0.38,0.71,2.52,1.58,10.68,19.02
20.23,93.4,1.66,0.25,0.71,2.01,1.5,13.15,20.09
16.84,119.3,1.87,0.42,2.55,2.08,1.58,10.33,19.27
18.42,117.0,3.24,0.36,1.09,2.26,1.75,13.57,21.2
19.24,115.3,1.26,0.31,3.37,2.12,1.5,14.3,19.44
23.02,104.5,2.04,0.17,1.53,2.5,1.75,14.13,20.2
18.61,117.3,0.7,0.53,2.37,2.15,1.65,13.44,20.88
23.01,136.9,1.91,0.03,1.43,2.35,1.85,12.62,19.5
19.54,109.6,1.37,0.87,2.95,2.25,1.72,14.31,20.24
24.01,139.1,0.5,0.3,3.25,2.11,1.54,14.71,18.61
24.89,121.3,0.61,0.26,2.73,2.17,1.66,12.33,19.93
19.14,120.0,1.47,0.86,2.96,2.34,1.82,14.7,19.17
19.07,111.3,1.85,0.29,1.71,2.0,1.5,13.2,20.15
19.88,104.4,1.46,0.17,2.77,2.19,1.69,14.47,19.74
20.6,98.8,0.5,0.46,1.93,2.16,1.66,14.32,19.93
20.29,108.6,3.4,0.92,0.95,2.34,1.83,10.71,19.59
15.45,137.9,1.67,0.24,3.29,2.23,1.69,14.69,18.99
23.64,118.7,2.83,0.41,1.0,2.35,1.72,14.77,18.91
19.54,133.0,1.63,0.64,0.52,2.66,1.75,14.72,18.9
23.7,129.8,2.04,0.1,1.55,2.35,1.75,14.16,20.13
22.02,104.9,0.54,0.34,1.65,2.48,1.87,12.85,20.29
19.27,116.9,1.31,0.38,0.86,2.2,1.7,10.81,19.75
22.31,108.0,0.66,0.4,3.09,2.1,1.5,14.66,18.47
22.97,117.4,0.5,0.67,1.92,2.61,1.93,12.17,20.84
21.99,123.3,1.49,0.14,2.09,2.54,1.58,12.61,19.03
24.17,118.5,0.81,0.92,2.93,2.37,1.73,12.78,19.55
16.84,114.7,1.86,0.43,2.55,2.0,1.5,10.01,19.96
19.25,116.4,1.67,0.93,2.4,2.22,1.72,14.69,18.74
23.18,117.0,1.58,0.92,2.07,2.33,1.7,14.47,19.59
23.86,92.0,1.7,0.46,1.46,2.0,1.5,14.44,19.37
17.48,117.3,1.13,0.52,2.78,2.13,1.63,12.69,19.43
20.09,125.1,1.86,0.14,1.84,2.18,1.65,13.09,20.71
23.12,134.3,1.24,0.64,2.69,2.14,1.5,14.84,18.58
23.52,105.7,0.5,0.17,2.95,2.16,1.55,13.0,20.24
23.17,110.9,0.81,0.87,1.54,2.3,1.8,10.46,19.64
23.13,117.9,2.83,0.83,0.85,2.4,1.66,13.77,20.84
19.14,120.0,1.47,0.86,2.96,2.0,1.5,14.35,19.5
19.48,104.8,0.54,0.63,1.51,2.15,1.65,14.61,19.36
19.5,110.4,1.85,0.63,1.69,2.02,1.51,13.25,20.1
22.02,108.2,0.66,0.4,3.08,2.1,1.51,14.66,18.51
21.99,133.0,1.02,0.68,0.57,2.44,1.5,12.75,18.96
23.53,105.7,0.68,0.17,2.95,2.36,1.55,10.6,18.69
19.36,101.0,1.5,0.34,0.86,2.05,1.55,12.71,18.98
20.11,137.7,2.04,0.34,0.51,2.15,1.65,13.9,20.63
19.11,116.0,2.57,0.54,1.79,2.08,1.58,13.67,20.85
23.07,100.4,0.5,0.38,2.35,2.46,1.94,14.47,20.28
15.57,139.6,1.69,0.3,3.42,2.25,1.68,14.83,19.09
23.67,140.0,1.92,0.25,1.47,2.21,1.5,14.78,18.61
15.52,139.3,1.69,0.14,3.42,2.17,1.65,13.1,20.44
16.35,136.9,2.33,0.93,2.58,2.35,1.85,14.68,19.04
19.24,116.8,1.46,0.08,2.4,2.08,1.5,14.48,18.8
19.5,139.6,1.19,0.63,2.77,2.38,1.74,14.84,19.29
20.14,124.6,1.86,0.3,1.84,2.23,1.66,14.74,18.86
22.95,114.9,2.7,0.09,0.98,2.04,1.53,10.51,18.85
20.43,96.7,3.79,0.29,0.5,2.1,1.52,13.77,20.44
20.31,110.4,1.24,0.4,2.39,2.37,1.87,14.88,19.41
15.58,139.6,1.69,0.63,3.42,2.28,1.74,14.84,19.29
22.02,108.2,0.66,0.4,3.08,2.1,1.51,14.61,18.88
23.53,120.4,1.38,0.38,0.86,2.05,1.55,10.63,18.83
23.27,80.7,0.99,0.62,0.57,2.08,1.58,12.77,19.29
20.34,100.8,1.75,0.5,1.46,2.0,1.5,14.44,18.88
19.91,104.6,1.46,0.11,2.76,2.19,1.69,14.72,18.96
22.95,105.8,0.59,0.41,2.95,2.28,1.51,14.72,18.71
23.08,104.4,0.63,0.36,2.77,2.19,1.69,14.67,19.15
23.76,120.0,0.54,0.92,3.0,2.34,1.82,14.7,19.31
19.14,120.0,1.65,0.86,2.96,2.07,1.57,14.52,19.16
19.18,112.1,1.14,0.3,1.2,2.0,1.5,14.91,18.82
22.86,94.1,2.6,0.42,1.0,2.34,1.73,11.03,20.39
19.14,134.3,1.12,0.3,2.78,2.15,1.54,14.79,18.59
23.7,130.4,1.05,0.65,2.78,2.5,1.74,14.16,20.59
23.41,132.8,1.62,0.34,1.47,2.68,1.75,12.74,19.4
23.12,108.0,0.67,0.73,2.67,2.14,1.5,14.84,18.7
23.47,129.7,2.03,0.1,1.55,2.51,1.75,13.49,21.23
23.86,92.0,1.41,0.46,1.46,2.0,1.5,14.44,19.34
19.54,133.0,1.68,0.64,2.68,2.66,1.75,14.72,18.8
22.95,95.9,0.5,0.45,1.89,2.39,1.89,14.42,19.97
22.9,102.4,1.86,0.28,1.91,2.18,1.66,14.87,19.13
19.88,95.2,2.06,0.77,1.09,2.01,1.51,14.69,18.44
19.5,134.3,1.13,0.64,2.69,2.38,1.74,14.85,19.2
19.87,117.2,1.43,0.87,2.39,2.23,1.72,14.73,18.96
22.93,118.7,2.83,0.41,1.0,2.19,1.69,14.93,19.28
24.13,96.4,0.5,0.45,1.93,2.4,1.9,14.88,19.45
22.95,114.9,2.66,0.06,1.02,2.06,1.55,10.66,18.85
23.28,80.3,3.14,0.07,0.5,2.08,1.54,10.64,18.87
19.14,120.0,2.79,0.86,1.62,2.34,1.82,14.79,19.3
20.42,109.0,3.4,0.52,0.9,2.32,1.82,14.89,19.44
23.52,125.2,1.98,0.41,1.72,2.4,1.66,14.66,19.02
23.53,105.7,0.59,0.08,2.95,2.15,1.55,10.5,19.21
15.57,139.5,0.58,0.3,3.42,2.22,1.66,14.67,18.93
19.24,139.3,1.46,0.08,3.19,2.08,1.51,14.82,18.69
23.64,94.5,2.01,0.42,1.46,2.32,1.69,14.78,18.91
19.54,132.9,1.67,0.64,2.62,2.16,1.66,14.69,18.57
19.14,120.0,1.58,0.86,0.59,2.03,1.53,14.89,18.79
23.18,117.0,0.53,0.92,2.1,2.33,1.7,14.64,19.11
19.14,120.0,1.49,0.86,2.91,2.0,1.5,14.7,18.57
22.82,106.0,0.54,0.38,3.16,2.58,1.87,14.61,19.46
17.67,112.9,1.23,0.52,0.82,2.08,1.57,10.55,19.03
19.49,134.1,1.69,0.62,1.46,2.0,1.5,14.85,18.83
16.35,136.9,2.36,0.93,2.58,2.35,1.85,14.71,18.93
23.18,107.0,2.64,0.52,0.97,2.35,1.83,14.3,20.21
19.49,138.5,1.19,0.3,2.77,2.25,1.68,14.83,19.01
20.42,115.3,3.4,0.52,0.9,2.01,1.51,14.89,18.89
19.34,99.3,2.82,0.51,1.0,2.02,1.52,14.77,18.48
21.99,135.9,3.03,0.68,0.69,2.11,1.54,14.73,18.57
19.21,116.8,1.43,0.06,2.4,2.08,1.5,14.48,18.87
19.88,95.1,2.12,0.77,1.39,2.0,1.5,14.66,18.55
19.16,108.0,1.49,0.46,3.09,2.1,1.5,14.46,19.25
19.41,139.2,1.73,0.29,2.64,2.08,1.58,14.81,18.8
20.64,140.0,1.92,0.21,1.47,2.22,1.51,14.78,18.58
16.79,132.7,1.47,0.08,3.21,2.02,1.51,10.55,18.89
19.74,139.2,1.66,0.3,2.64,2.16,1.66,12.62,19.18
23.73,114.6,2.67,0.09,0.97,2.07,1.55,14.24,19.72
23.27,103.6,0.58,0.42,3.21,2.38,1.74,14.69,19.09
19.49,134.3,3.01,0.07,0.59,2.4,1.76,14.85,19.1
22.05,129.9,2.03,0.1,0.61,2.3,1.55,14.16,19.95
23.36,135.9,3.0,0.69,0.68,2.13,1.54,14.47,19.13
22.48,134.3,1.23,0.39,2.56,2.11,1.51,14.66,18.37
23.55,139.4,2.36,0.95,1.24,2.35,1.85,14.72,19.19
19.13,111.7,3.42,0.06,0.96,2.24,1.74,14.15,20.56
19.88,95.6,2.05,0.77,2.07,2.01,1.51,14.72,18.51
16.35,136.9,1.57,0.93,0.65,2.35,1.85,14.68,19.18
22.11,133.0,1.37,0.34,0.75,2.53,1.58,12.76,19.23
20.54,122.6,0.5,0.38,2.28,2.5,1.94,14.49,19.77
18.43,116.9,1.46,0.31,2.4,2.13,1.51,14.53,18.66
23.12,134.3,1.17,0.64,2.76,2.14,1.5,14.84,18.61
19.25,104.6,1.43,0.14,2.72,2.12,1.62,14.72,18.61
19.36,101.0,1.5,0.34,0.86,2.06,1.55,12.71,18.98
23.16,136.3,0.67,0.92,1.66,2.39,1.73,14.67,19.28
21.95,128.4,0.69,0.37,2.72,2.16,1.5,12.72,18.98
22.94,121.9,3.0,0.64,0.69,2.07,1.55,14.34,19.64
22.46,137.8,0.66,0.25,3.09,2.18,1.51,14.78,18.59
23.64,118.7,1.51,0.42,1.0,2.35,1.72,14.77,19.18
17.67,112.9,1.23,0.52,3.37,2.07,1.57,10.34,19.61
20.14,105.1,0.52,0.37,3.07,2.11,1.54,14.74,18.79
22.99,125.6,2.86,0.39,1.07,2.05,1.54,14.74,18.55
23.53,108.1,1.79,0.2,1.8,2.37,1.55,10.61,18.99
23.67,140.0,1.82,0.25,1.01,2.21,1.5,14.71,18.35
21.02,139.2,1.63,0.3,0.57,2.66,1.75,14.72,18.83
24.31,103.3,3.17,0.52,0.5,2.29,1.5,14.63,18.28
24.01,139.1,0.5,0.3,3.25,2.11,1.54,14.8,18.88
23.53,105.7,1.66,0.41,1.89,2.14,1.54,14.77,18.71
19.88,95.2,1.46,0.77,2.1,2.0,1.5,14.72,18.56
23.27,103.6,0.59,0.66,1.93,2.13,1.54,14.69,18.61
19.13,111.7,0.86,0.06,3.52,2.24,1.74,13.65,20.97
23.87,92.2,0.63,0.42,2.79,2.14,1.5,14.43,19.69
16.35,136.9,2.33,0.04,2.59,2.35,1.85,12.59,19.41
17.48,117.4,1.3,0.18,2.95,2.13,1.63,10.65,19.15
23.53,105.7,0.59,0.41,2.95,2.13,1.54,14.66,18.62
23.53,105.6,0.68,0.51,2.78,2.06,1.55,12.64,19.02
20.88,104.4,1.46,0.17,2.77,2.19,1.69,14.72,19.02
22.79,132.9,1.5,0.54,0.75,2.51,1.58,14.52,19.07
