X0,X1,X2,X3,X4,X5,ANG,AVG,RIP
16.88,121.1,3.72,0.53,1.2,2.0,-44.0,-871.26,46.989
24.57,104.4,2.55,0.89,1.0,1.54,-43.0,-1538.558,60.855
19.57,136.3,2.85,0.46,1.56,1.18,-43.0,-1333.735,57.155
21.68,123.2,1.37,0.31,1.01,1.85,-44.0,-1392.108,68.991
24.09,121.9,1.75,0.17,1.36,2.12,-43.0,-1588.947,64.342
24.24,111.4,1.28,0.94,1.94,0.85,-44.0,-1621.339,40.56
16.39,140.4,2.19,0.17,2.82,1.2,-42.0,-1170.617,58.473
23.86,141.2,2.71,0.62,1.0,1.7,-43.0,-1643.722,67.39
16.45,107.1,1.04,0.52,3.23,0.55,-47.0,-1462.82,54.369
17.5,137.6,2.35,0.46,1.53,0.56,-44.0,-1475.546,64.475
22.45,106.5,1.07,0.52,2.62,1.19,-43.0,-1395.682,40.399
19.17,140.2,1.0,0.3,1.44,0.68,-45.0,-1498.714,71.241
16.02,120.7,3.17,0.41,1.15,1.57,-44.0,-893.229,37.706
22.72,114.5,2.68,0.43,1.0,0.5,-44.0,-1701.441,47.05
23.32,145.3,2.33,0.12,1.26,1.88,-43.0,-1624.179,67.191
19.84,102.7,2.72,0.58,1.62,1.06,-43.0,-1290.754,49.272
17.81,132.4,2.34,1.0,1.17,1.08,-44.0,-1104.066,55.476
23.88,143.0,2.7,0.41,1.0,1.66,-43.0,-1693.507,66.028
17.17,106.4,1.26,0.23,1.72,0.85,-45.0,-1281.853,67.635
17.82,132.0,2.2,0.51,2.08,0.63,-44.0,-1494.491,63.879
16.17,144.9,3.25,0.46,1.0,1.54,-43.0,-953.663,43.215
23.35,137.4,2.55,0.14,1.12,1.04,-43.0,-1706.961,58.079
23.83,137.5,1.05,0.6,1.15,1.54,-44.0,-1649.5,64.96
15.19,147.6,3.53,0.58,1.56,1.9,-43.0,-832.568,45.223
20.74,123.4,1.28,0.21,2.97,1.5,-42.0,-1228.756,49.862
19.88,136.5,2.41,0.46,1.33,1.08,-44.0,-1407.848,63.613
17.52,108.1,2.28,0.68,1.62,1.06,-44.0,-1132.077,54.306
20.61,100.9,3.07,0.23,1.0,1.34,-43.0,-1273.23,52.213
16.4,109.9,3.4,0.99,1.7,1.88,-43.0,-810.511,38.001
22.72,144.5,2.68,0.01,1.0,0.5,-44.0,-1869.148,51.918
23.35,145.0,2.42,0.62,1.14,0.51,-43.0,-1814.731,56.338
24.69,120.9,2.69,0.42,1.0,2.31,-43.0,-1643.673,66.987
23.54,137.8,2.57,0.92,1.0,0.75,-43.0,-1704.214,56.896
17.57,105.2,3.09,0.58,1.63,0.8,-45.0,-1235.2,40.026
16.43,111.5,1.05,0.98,1.64,0.72,-46.0,-1070.135,40.778
17.63,139.9,1.89,0.02,2.78,1.6,-42.0,-1151.515,50.14
18.0,106.6,3.54,0.54,1.1,1.85,-43.0,-951.07,49.228
17.74,128.0,3.02,0.34,1.69,0.89,-44.0,-1322.004,46.838
22.74,101.7,2.68,0.02,1.0,0.5,-45.0,-1718.297,42.878
22.65,127.3,2.26,0.15,1.44,0.55,-45.0,-1829.872,53.289
17.46,109.9,3.4,0.97,1.12,1.88,-44.0,-887.753,46.884
23.82,115.0,1.0,0.62,1.06,0.56,-44.0,-1763.448,59.063
15.99,113.0,3.07,0.42,1.15,2.15,-45.0,-769.787,38.27
24.67,137.8,2.41,0.92,1.01,1.06,-43.0,-1732.882,61.248
22.22,110.7,2.59,0.59,1.24,0.78,-43.0,-1561.366,49.994
23.61,116.1,2.15,0.05,1.41,0.75,-44.0,-1803.991,51.497
22.8,138.5,2.31,0.1,1.0,0.64,-44.0,-1811.515,57.005
15.97,100.3,3.97,0.98,1.04,0.72,-44.0,-978.141,24.432
24.9,127.4,1.87,0.35,1.05,0.55,-44.0,-1926.56,55.555
23.65,145.5,2.44,0.09,1.11,0.74,-43.0,-1867.082,56.082
24.94,127.3,1.94,0.13,1.0,1.61,-43.0,-1738.608,62.953
16.32,136.6,1.97,0.94,2.75,2.26,-44.0,-834.348,48.181
22.74,102.5,2.68,0.64,1.0,0.5,-44.0,-1602.456,44.259
24.24,111.4,1.28,0.98,1.94,1.12,-44.0,-1562.371,43.91
20.74,117.7,1.17,0.23,2.99,1.56,-42.0,-1216.146,48.054
16.02,143.0,3.08,0.41,1.09,1.12,-44.0,-1076.235,41.29
24.76,146.4,2.3,0.45,1.0,0.63,-43.0,-1923.124,57.521
21.22,131.7,2.64,0.92,1.0,0.5,-44.0,-1564.597,53.975
24.66,145.3,2.37,0.95,1.0,0.84,-43.0,-1805.41,61.086
16.57,120.7,1.89,0.03,2.76,1.57,-46.0,-1053.241,41.875
15.21,146.0,2.68,0.01,1.48,0.5,-45.0,-1514.702,59.276
19.78,124.9,3.22,0.93,1.0,0.57,-44.0,-1385.619,48.683
22.7,137.3,1.07,0.52,2.62,0.52,-42.0,-1621.201,50.896
17.95,139.1,3.67,0.35,1.0,0.89,-44.0,-1263.487,45.388
23.44,137.6,2.47,0.54,1.21,1.17,-42.0,-1656.656,61.644
15.98,110.6,3.87,0.41,1.08,1.52,-43.0,-869.162,30.265
15.24,104.8,2.13,0.07,1.43,0.75,-44.0,-1271.455,67.926
24.07,148.4,1.08,0.67,2.25,1.62,-42.0,-1545.043,55.803
16.86,117.4,2.56,0.98,2.25,1.87,-44.0,-851.82,43.789
24.48,113.3,2.31,0.03,1.05,0.6,-44.0,-1878.732,48.664
15.65,135.5,2.5,0.95,1.01,0.74,-44.0,-1037.758,45.507
24.67,106.4,2.31,0.03,1.01,0.61,-44.0,-1843.404,46.946
16.2,147.4,2.35,0.62,2.43,1.16,-42.0,-1122.878,48.084
24.12,116.1,2.01,0.45,1.0,1.32,-43.0,-1623.299,60.319
17.84,139.5,1.31,0.45,3.32,0.52,-42.0,-1398.123,64.847
24.84,126.9,1.05,0.07,1.01,0.59,-45.0,-1977.296,63.116
16.09,109.9,3.44,0.97,1.66,1.88,-44.0,-766.647,37.213
22.74,115.1,2.68,0.44,1.0,0.5,-44.0,-1695.261,47.418
22.61,136.8,2.38,0.55,1.11,1.07,-43.0,-1628.448,59.872
16.0,145.1,2.31,0.03,1.16,0.68,-44.0,-1357.395,62.281
15.7,145.3,2.38,0.92,1.84,0.64,-44.0,-1234.916,50.079
16.15,147.5,2.41,0.43,2.22,0.98,-43.0,-1248.848,54.869
24.2,106.7,1.2,0.23,1.94,0.85,-45.0,-1750.496,44.841
15.85,106.6,1.21,0.66,3.41,1.08,-47.0,-988.595,28.807
22.7,107.0,1.11,0.52,2.58,0.51,-42.0,-1615.38,45.687
23.44,145.3,2.38,0.56,1.09,1.07,-43.0,-1728.598,61.444
15.98,121.1,3.87,0.52,1.2,1.14,-44.0,-988.67,28.453
24.99,138.2,1.08,0.52,1.07,0.52,-45.0,-1952.242,60.113
16.72,111.9,2.34,0.46,1.75,1.5,-45.0,-963.163,44.919
22.72,137.0,2.68,0.43,1.21,1.52,-42.0,-1538.256,64.713
16.47,120.3,3.47,0.31,1.5,1.03,-44.0,-1150.864,32.777
15.46,145.3,3.25,0.93,1.0,0.82,-44.0,-1016.912,33.311
24.11,126.4,1.2,0.23,1.94,0.85,-44.0,-1809.6,47.092
22.47,103.6,2.72,0.46,1.0,0.56,-44.0,-1622.178,45.405
