threshold,clusters,distance_avg,distance_rip,distance_cog
0.7999999999999999,2494,0.35316046282655134,0.36550851140206686,0.43553178847296486
0.825,3643,0.35030670443723544,0.3693060515029568,0.5059417706476526
0.85,505,0.34525315715669225,0.3582157229496118,0.5121806298276882
0.875,338,0.4454935373137578,0.36914275997765206,0.5859434682964091
0.9,2520,0.374393102597412,0.44618262200306075,0.5572192513368982
0.9249999999999999,2004,0.42242671872618676,0.4302839653120218,0.5219251336898394
0.95,341,0.4298698753909907,0.4393130419996599,0.5502673796791442
0.975,300,0.5033033120208624,0.49056282945077373,0.6283422459893041
1.0,2052,0.4688317814661335,0.4830300969222921,0.6556149732620316
1.025,643,0.4616242473504559,0.5739953522643542,0.5677361853832442
1.0499999999999998,522,0.3686216806612914,0.4524103043700052,0.5160427807486627
1.075,719,0.42443265525324597,0.546760754973644,0.6203208556149727
1.0999999999999999,44,0.540383624474748,0.74689678626084,0.6109625668449192
1.125,54,0.4299591410179185,0.6603043700051012,0.6938502673796787
1.15,401,0.4185469297704495,0.6166043189933685,0.6189839572192506
1.1749999999999998,415,0.4282427734757713,0.5975599387859207,0.5133689839572186
1.2,117,0.5294975724103896,0.8774868219690529,0.7219251336898385
1.2249999999999999,111,0.5294975724103896,0.8774868219690529,0.7219251336898385
1.25,105,0.5294975724103896,0.8774868219690529,0.7219251336898385
1.275,99,0.6607615882024225,0.875276313552117,0.6764705882352935
1.2999999999999998,47,0.6113534265663214,0.8601428328515559,0.7700534759358284
1.325,55,0.6789485525179437,0.7962931474239074,0.6363636363636367
1.3499999999999999,48,0.6789485525179437,0.7962931474239074,0.6363636363636367
1.375,33,0.6789485525179437,0.7962931474239074,0.6363636363636367
1.4,26,0.6789485525179437,0.7962931474239074,0.6363636363636367
1.4249999999999998,24,0.6789485525179437,0.7962931474239074,0.6363636363636367
1.45,21,0.6789485525179437,0.7962931474239074,0.6363636363636367
1.4749999999999999,13,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.5,6,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.525,3,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.5499999999999998,2,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.575,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.6,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.625,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.65,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.6749999999999998,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.7,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.725,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.75,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.775,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.7999999999999998,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.825,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.85,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.875,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.9,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.9249999999999998,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.95,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
1.975,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
2.0,1,0.6668214905182488,0.8039449073286855,0.5508021390374331
