X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
23.3,101.1,0.63,0.59,0.78,2.55,1.85,11.76,16.85,3.13,2.7,-29.0,-1466.43,61.55
23.98,98.6,1.16,0.28,1.15,2.38,1.53,10.07,13.71,8.75,5.31,-35.0,-1631.93,45.65
21.33,120.6,0.58,0.27,1.01,2.41,1.59,11.73,14.88,9.27,6.12,-25.0,-1736.7,56.86
18.73,120.0,0.63,0.54,3.85,2.36,1.86,10.48,13.72,3.91,5.85,-48.0,-1055.15,37.94
24.11,90.8,1.29,0.17,0.94,2.32,1.75,10.16,17.5,7.58,1.39,-39.0,-1412.53,26.81
21.22,133.7,0.99,0.91,0.51,2.28,1.71,11.0,16.21,1.83,3.85,-26.0,-1523.69,81.31
17.9,120.4,2.1,0.66,1.12,2.25,1.75,13.03,16.13,8.08,7.39,-33.0,-1603.35,73.97
24.39,121.9,0.5,0.71,3.18,2.26,1.76,11.61,16.08,6.12,1.65,-42.0,-1417.05,21.68
21.24,118.5,0.53,0.99,0.77,2.63,1.97,10.05,14.96,10.07,5.17,-25.0,-1575.52,68.87
22.92,120.1,3.46,0.52,0.5,2.13,1.54,10.86,16.73,3.86,3.35,-30.0,-1613.97,61.42
23.68,136.1,0.5,0.38,3.32,2.19,1.69,11.81,14.57,2.88,4.75,-42.0,-1457.38,36.11
22.59,126.3,0.63,0.98,3.14,2.48,1.97,10.01,14.18,7.18,5.21,-41.0,-1409.39,51.32
21.37,118.6,0.69,0.6,2.75,2.1,1.57,14.21,14.65,4.2,3.76,-46.0,-1451.82,30.26
21.8,101.2,0.64,0.59,3.24,2.14,1.57,13.18,13.56,2.64,2.7,-46.0,-1331.11,28.31
20.28,110.9,1.02,0.55,1.83,2.38,1.86,10.88,16.91,0.02,5.81,-37.0,-1342.22,96.03
22.92,115.7,3.44,0.41,0.51,2.35,1.76,11.03,13.52,2.23,4.72,-40.0,-1583.12,92.75
20.46,123.6,1.48,0.24,2.6,2.08,1.57,12.17,16.46,5.03,6.08,-46.0,-1639.09,83.58
23.49,117.4,2.28,0.47,1.18,2.18,1.66,10.19,15.55,8.92,3.96,-39.0,-1720.88,39.42
22.99,93.0,2.66,0.23,0.83,2.33,1.82,10.29,16.05,7.98,2.22,-43.0,-1442.21,38.63
17.55,115.9,0.98,0.55,1.26,2.12,1.62,12.41,14.96,4.96,5.61,-25.0,-1410.97,100.49
21.15,136.5,2.04,0.56,0.5,2.6,1.77,11.55,15.87,7.85,3.53,-31.0,-1583.24,51.74
17.9,121.9,2.0,0.77,1.74,2.28,1.78,11.54,15.87,7.87,3.54,-47.0,-1218.4,36.12
22.45,124.8,2.31,0.56,1.51,2.52,1.7,10.71,14.96,2.28,5.54,-34.0,-1735.19,89.58
18.81,120.1,2.44,0.54,2.05,2.37,1.52,13.55,13.82,3.72,3.54,-46.0,-1341.54,66.9
18.54,120.1,1.44,0.88,2.68,2.24,1.74,11.35,16.58,6.85,2.8,-46.0,-1200.56,27.51
15.47,136.1,3.84,0.38,0.61,2.19,1.69,10.31,14.57,2.68,6.94,-41.0,-1048.96,110.36
24.67,136.4,0.59,0.72,2.79,2.17,1.63,11.36,12.52,4.76,5.19,-41.0,-1631.98,30.27
21.24,133.7,0.99,0.98,0.51,2.37,1.71,12.89,16.21,1.91,5.18,-25.0,-1756.05,71.55
21.29,132.5,1.08,0.64,3.01,2.21,1.7,10.2,15.75,1.91,2.05,-45.0,-1363.88,56.15
24.35,129.7,0.58,0.87,2.87,2.29,1.76,10.25,11.9,2.3,2.62,-42.0,-1496.3,42.75
21.46,91.7,1.29,0.26,0.94,2.12,1.62,10.24,17.46,7.7,3.09,-42.0,-1283.77,43.12
15.66,136.1,0.68,0.38,3.98,2.21,1.71,10.16,14.57,2.89,4.14,-48.0,-1008.26,58.85
23.93,121.9,3.27,0.81,0.5,2.31,1.8,11.48,15.85,7.59,3.22,-31.0,-1733.77,35.05
17.52,119.5,1.18,0.58,3.77,2.18,1.62,12.47,14.96,5.08,2.93,-48.0,-1155.13,57.74
17.81,121.5,2.12,0.57,0.5,2.26,1.7,12.53,14.94,4.49,6.89,-25.0,-1470.5,112.94
20.28,124.2,0.69,0.73,2.32,2.66,1.78,11.66,12.74,1.09,1.48,-44.0,-1173.84,57.98
18.3,115.8,1.49,0.81,1.56,2.21,1.67,14.28,17.11,2.95,3.36,-44.0,-1243.8,47.72
18.48,120.1,1.85,0.88,2.68,2.33,1.7,11.25,17.79,1.89,6.73,-41.0,-1321.5,88.25
23.85,81.2,0.66,0.35,0.5,2.16,1.66,11.62,12.38,3.68,3.57,-40.0,-1351.39,78.74
24.47,120.0,0.69,0.6,2.73,2.1,1.57,14.21,15.03,4.32,3.5,-44.0,-1714.06,28.7
21.39,102.0,3.63,0.26,0.53,2.33,1.83,14.59,17.46,0.09,2.96,-34.0,-1562.89,67.18
15.44,136.1,1.13,0.38,3.8,2.19,1.69,10.18,14.57,2.94,3.48,-48.0,-1107.93,74.03
20.1,119.2,1.02,0.55,1.26,2.51,1.81,10.9,16.9,9.69,5.83,-31.0,-1598.93,63.71
24.5,85.6,0.59,0.65,0.5,2.33,1.83,10.25,16.34,7.29,1.9,-36.0,-1247.63,37.1
21.69,112.0,2.87,0.57,1.04,2.13,1.56,13.18,13.72,2.64,2.85,-44.0,-1529.48,78.14
21.33,103.6,0.52,0.14,0.54,2.33,1.61,13.03,16.5,8.64,5.17,-25.0,-1659.27,60.14
19.12,135.9,3.78,0.56,0.5,2.25,1.7,10.71,13.12,8.09,6.71,-32.0,-1578.96,86.51
22.59,127.1,0.54,0.93,0.64,2.63,1.97,10.04,14.18,4.79,0.65,-44.0,-1223.57,53.77
20.86,138.6,1.14,0.8,2.55,2.26,1.75,10.63,13.74,4.53,3.6,-46.0,-1386.94,46.47
19.49,122.5,1.53,0.4,3.06,2.09,1.59,14.36,16.76,9.02,6.75,-45.0,-1649.18,56.24
17.9,130.7,0.56,0.81,1.34,2.46,1.78,10.77,16.86,2.39,5.46,-25.0,-1358.47,117.89
17.52,128.0,1.11,0.55,1.26,2.18,1.62,12.49,16.96,5.47,2.51,-41.0,-1106.3,49.96
18.39,115.7,1.86,0.41,2.57,2.22,1.66,10.87,17.11,3.86,7.37,-45.0,-1410.15,104.03
20.45,123.9,1.57,0.24,2.68,2.27,1.76,13.08,16.46,5.04,6.08,-46.0,-1671.24,82.2
21.17,136.1,1.12,0.64,0.5,2.51,1.7,10.35,14.84,9.5,6.99,-25.0,-1841.54,64.69
24.59,129.7,0.58,0.87,2.87,2.29,1.76,10.25,11.92,2.3,2.62,-42.0,-1503.14,42.04
19.48,122.9,2.1,0.66,1.01,2.42,1.6,12.69,16.13,9.27,7.39,-29.0,-1774.59,62.79
24.48,115.1,2.03,0.81,1.48,2.13,1.55,14.34,17.11,3.45,1.41,-34.0,-1767.29,44.32
24.06,101.9,3.19,0.17,0.5,2.42,1.83,14.32,17.5,0.39,0.29,-33.0,-1526.76,57.3
23.94,121.9,3.27,0.8,0.5,2.13,1.62,11.51,15.85,7.49,3.21,-31.0,-1753.45,35.3
20.46,120.6,1.48,0.25,0.82,2.08,1.57,12.17,16.34,4.76,1.93,-42.0,-1376.1,56.06
23.97,95.7,1.51,0.81,0.5,2.5,1.74,10.07,13.33,8.75,5.49,-29.0,-1640.16,52.19
15.44,136.1,1.14,0.41,3.9,2.19,1.69,10.18,14.57,3.85,4.39,-48.0,-1102.37,67.66
15.54,136.1,1.75,0.38,3.35,2.21,1.71,10.06,14.97,2.24,4.14,-48.0,-1198.37,99.13
24.83,130.0,2.24,0.75,1.38,2.5,1.76,11.6,13.54,5.26,3.32,-41.0,-1771.61,61.15
21.69,100.2,0.5,0.59,3.6,2.14,1.57,13.18,13.72,2.65,2.68,-45.0,-1243.48,20.02
24.17,129.7,2.44,0.76,1.3,2.42,1.67,13.59,13.82,2.02,2.25,-43.0,-1696.44,71.31
24.81,92.1,2.08,0.2,1.29,2.34,1.76,10.72,12.73,5.53,3.64,-45.0,-1699.54,63.35
21.22,133.7,0.99,0.9,0.51,2.29,1.72,12.95,16.21,1.91,3.9,-25.0,-1632.03,70.07
24.58,91.6,1.29,0.17,0.94,2.3,1.75,10.3,17.5,7.44,0.24,-38.0,-1380.79,24.87
21.19,129.9,2.07,0.77,0.97,2.37,1.61,10.31,13.38,2.06,4.89,-40.0,-1423.04,101.59
22.49,111.1,0.75,0.3,2.84,2.51,1.71,10.45,14.59,3.08,3.32,-46.0,-1353.22,52.12
21.32,136.4,0.59,0.72,2.79,2.17,1.63,11.36,12.53,2.02,3.19,-44.0,-1387.25,46.51
21.15,135.9,3.8,0.56,0.5,2.54,1.72,10.71,14.83,8.92,7.0,-25.0,-1892.21,67.1
21.17,112.2,1.13,0.38,2.87,2.13,1.56,10.33,14.57,2.89,7.09,-43.0,-1445.07,87.38
15.44,136.1,1.13,0.56,3.86,2.19,1.69,10.18,13.79,2.94,3.48,-48.0,-1028.91,73.16
17.55,120.1,1.57,0.66,1.28,2.12,1.62,14.34,17.01,8.62,8.44,-27.0,-1748.77,66.02
22.45,119.1,2.31,0.56,1.51,2.52,1.7,10.71,14.96,2.28,5.54,-35.0,-1713.22,90.7
21.33,120.6,3.01,0.17,1.01,2.41,1.59,11.73,14.88,9.27,6.12,-33.0,-1817.14,53.51
21.69,124.2,0.63,0.58,3.23,2.14,1.57,12.9,13.39,2.65,2.7,-45.0,-1396.0,26.47
15.8,135.4,1.49,0.55,3.56,2.24,1.74,12.38,13.37,3.94,2.95,-48.0,-1205.72,52.56
24.64,116.6,0.99,0.75,1.34,2.5,1.76,12.47,14.88,2.28,3.42,-40.0,-1645.82,63.01
22.92,115.7,2.52,0.41,1.18,2.25,1.66,11.05,13.34,3.86,6.05,-39.0,-1767.96,85.25
24.19,119.3,2.38,0.87,0.94,2.32,1.75,10.11,17.53,7.66,0.24,-33.0,-1334.41,51.05
22.9,115.7,3.44,0.41,0.51,2.35,1.76,12.18,16.49,2.25,3.61,-32.0,-1696.49,68.51
20.33,115.4,1.61,0.7,0.86,2.38,1.87,10.49,17.57,4.49,5.1,-33.0,-1494.25,81.13
19.49,122.5,1.36,0.4,3.06,2.09,1.59,14.36,16.76,9.02,6.75,-45.0,-1661.72,51.58
18.73,120.0,0.63,0.53,3.89,2.05,1.54,14.09,16.85,3.91,4.8,-48.0,-1209.44,31.25
20.02,136.0,1.21,0.17,3.05,2.21,1.64,10.06,17.03,7.21,0.24,-41.0,-1437.11,22.14
23.52,91.0,2.61,0.21,0.84,2.24,1.74,10.76,15.03,6.47,2.24,-44.0,-1510.34,51.69
24.75,116.9,2.45,0.31,0.5,2.48,1.96,13.54,13.82,2.02,2.3,-43.0,-1705.32,72.89
22.22,101.2,0.64,0.58,3.24,2.1,1.57,13.24,13.51,2.62,2.7,-46.0,-1365.01,26.51
21.34,103.6,0.51,0.14,1.18,2.29,1.57,12.12,16.5,8.64,5.16,-27.0,-1618.82,55.45
15.44,135.9,3.91,0.38,1.2,2.19,1.69,12.24,14.56,2.18,4.5,-48.0,-1151.36,80.97
23.9,120.1,2.28,0.47,1.24,2.22,1.66,10.19,15.55,8.91,3.55,-38.0,-1728.0,36.64
24.46,119.5,1.16,0.55,1.26,2.54,1.98,13.75,14.96,1.99,2.51,-43.0,-1681.54,64.07
21.69,112.0,1.49,0.38,1.04,2.14,1.56,13.15,16.63,3.0,2.85,-42.0,-1518.88,66.69
16.43,119.9,1.28,0.52,0.5,2.04,1.52,10.97,16.88,8.07,9.68,-25.0,-1587.3,93.64
20.12,134.6,3.99,0.72,0.5,2.2,1.69,10.7,14.83,7.92,7.01,-25.0,-1790.84,80.89
23.87,118.9,3.13,0.52,0.5,2.1,1.55,11.26,16.34,7.87,2.79,-31.0,-1678.79,38.13
21.33,120.5,0.58,0.27,0.96,2.44,1.87,11.77,14.88,8.08,6.12,-25.0,-1812.47,67.27
18.73,120.0,0.86,0.54,3.85,2.36,1.86,10.48,13.72,3.91,5.85,-48.0,-1084.57,36.78
18.59,129.9,1.48,0.71,1.02,2.48,1.72,10.75,13.59,2.06,4.6,-38.0,-1176.02,93.47
21.13,135.9,3.8,0.56,0.5,2.51,1.7,10.76,14.83,8.79,7.04,-25.0,-1885.51,66.26
22.91,119.8,3.46,0.42,0.5,2.4,1.81,10.83,13.27,3.96,3.05,-43.0,-1510.98,79.58
24.75,85.6,0.84,0.63,2.31,2.36,1.81,11.37,16.46,6.71,1.79,-43.0,-1417.53,23.65
15.82,135.4,3.17,0.28,1.87,2.11,1.61,10.8,13.36,5.47,3.6,-48.0,-1368.33,58.3
